,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.0,1.0,0.0,0.0,2.0,0.0,55.0,3.0,3.0,4.0
fulguro.csv,0.0,1261.0,0.0,33.0,0.0,0.0,6.0,4.0,2.0,0.0
fw4spl.csv,0.0,205.0,0.0,21.0,0.0,0.0,0.0,3.0,55.0,2.0
google-web-toolkit.csv,0.0,181.0,0.0,19.0,6.0,0.0,42.0,0.0,0.0,15.0
jstock.csv,0.0,644.0,0.0,21.0,1.0,2.0,6.0,0.0,0.0,89.0
ldview.csv,0.0,35.0,0.0,20.0,1.0,0.0,11.0,3.0,6.0,1.0
nuttx.csv,0.0,292.0,0.0,2.0,1.0,9.0,58.0,0.0,3.0,1.0
utgb.csv,0.0,23.0,0.0,3.0,0.0,0.0,6.0,3.0,9.0,6.0
vdsf.csv,0.0,0.0,0.0,21.0,2.0,0.0,72.0,4.0,5.0,2.0
xbrlapi.csv,0.0,27.0,0.0,2.0,0.0,2.0,26.0,1.0,2.0,5.0
