,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.55,0.99,0.98,0.71,0.48,0.84,0.77,0.64,0.65,0.58
fulguro.csv,0.67,0.98,0.94,0.98,0.8,0.8,0.92,0.93,0.67,0.91
fw4spl.csv,0.95,0.74,0.88,0.98,0.0,0.71,0.98,0.98,0.75,0.78
google-web-toolkit.csv,0.5,0.65,0.87,0.69,0.85,0.88,0.99,0.51,0.55,0.77
jstock.csv,0.72,0.34,0.69,0.67,0.8,0.86,0.95,0.91,0.83,0.83
ldview.csv,0.92,0.99,0.93,0.77,0.92,0.67,0.67,0.99,0.89,0.9
nuttx.csv,0.37,0.28,0.61,0.42,0.35,0.45,0.42,0.4,0.35,0.47
utgb.csv,0.59,0.54,0.69,0.53,0.53,0.5,0.52,0.59,0.69,0.57
vdsf.csv,0.37,0.99,0.55,0.56,0.39,0.47,0.46,0.41,0.35,0.41
xbrlapi.csv,0.52,0.99,0.95,0.79,0.92,0.57,0.97,0.99,0.92,0.89
