,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,1.0,0.96,1.0,0.89,0.83,0.18,0.96,0.78,0.96,0.95,0.96,1.0,1.0,1.0,1.0,0.96
calcubetimer.csv,0.92,0.53,0.23,0.11,0.86,0.27,0.51,0.62,0.46,1.0,1.0,1.0,0.38,0.5,0.65,0.82
chaosrts.csv,0.77,0.73,0.97,0.85,0.59,0.23,0.71,0.98,0.96,0.66,0.61,1.0,0.88,0.88,0.7,0.99
dxengine.csv,0.16,0.12,0.2,0.96,0.17,0.73,0.16,0.15,0.18,0.12,0.32,0.27,0.5,0.5,0.1,0.33
freedom-erp.csv,0.02,0.0,0.0,0.0,0.25,0.0,0.0,0.02,0.0,0.3,0.98,0.0,0.0,0.0,0.0,0.13
joustsim.csv,0.38,0.49,0.2,0.56,0.27,0.23,0.49,0.42,0.46,0.18,0.25,1.0,0.88,0.12,0.5,0.28
jsidplay2.csv,0.34,0.43,0.23,0.26,1.0,0.27,0.55,0.65,0.36,0.8,0.4,0.82,0.25,0.75,0.57,0.87
madman.csv,0.13,0.02,0.2,0.04,0.02,0.27,0.04,0.02,0.07,0.04,0.0,0.09,0.88,0.0,0.08,0.09
mclient-mume.csv,0.43,0.29,1.0,0.41,0.22,0.5,0.33,0.25,0.39,0.2,0.0,0.18,0.75,0.25,0.45,0.18
primefaces.csv,0.48,0.71,0.8,0.89,0.27,0.23,0.65,0.6,0.83,0.29,0.0,0.27,0.75,0.75,0.98,0.46
reaper3d.csv,0.08,0.0,0.0,0.0,0.07,0.41,0.2,0.08,0.0,0.02,0.01,0.0,0.0,0.75,0.15,0.01
sblim.csv,0.3,0.06,0.1,0.07,0.08,1.0,0.1,0.15,0.04,0.23,0.43,0.27,0.38,0.0,0.35,0.27
sevenupdate.csv,0.73,1.0,1.0,0.93,0.76,0.95,0.86,1.0,1.0,0.5,1.0,0.91,1.0,1.0,0.7,0.48
springside.csv,0.78,0.43,0.63,0.85,0.42,0.55,0.96,0.5,0.54,0.39,0.56,0.73,0.88,0.62,0.9,0.7
swtfox.csv,0.4,0.78,0.73,0.59,0.2,0.91,0.82,0.95,0.87,0.3,0.12,0.0,0.62,0.88,0.48,0.4
tmva.csv,0.95,0.45,0.6,0.56,0.61,0.64,0.8,0.52,0.99,0.88,0.82,1.0,1.0,0.5,0.75,0.99
