,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.83,0.34,0.61,0.63,0.32,1.01,0.63,0.71,0.57,0.58,0.6,0.56,0.52,0.01
bibedt.csv,0.61,0.46,0.69,0.65,0.43,1.03,0.55,0.0,0.69,0.85,0.72,0.73,0.62,0.36
brlcad.csv,0.28,0.7,0.69,0.85,0.96,0.83,0.84,0.58,0.98,0.97,0.78,0.99,0.64,1.04
co-ode-owl-plugins.csv,0.81,0.48,0.65,0.87,0.11,0.63,0.67,0.92,0.45,0.39,0.95,0.36,0.6,0.86
firebreath.csv,0.91,0.51,0.07,0.75,0.8,0.97,1.0,0.74,0.61,0.88,0.87,0.68,0.5,0.97
fltk.csv,0.75,0.44,0.59,0.12,0.79,0.95,0.69,0.7,0.46,0.49,0.64,0.45,0.59,0.52
glas.csv,0.6,0.87,0.65,0.79,0.61,0.6,0.62,0.66,0.9,0.92,0.03,0.79,0.68,0.61
gretl.csv,0.86,0.79,0.75,0.59,0.91,0.89,0.03,0.85,0.69,0.93,0.92,0.75,0.96,0.89
konversation.csv,0.94,0.08,0.95,0.69,0.94,0.44,0.84,0.9,0.72,1.0,1.0,0.73,0.95,0.69
micomt.csv,0.8,0.47,0.63,0.55,0.91,0.96,0.63,0.95,0.39,0.08,0.71,0.51,0.47,0.84
openxava.csv,0.73,0.51,0.85,0.72,0.93,0.06,0.64,0.74,0.75,0.83,0.52,0.59,0.89,0.62
sumatrapdf.csv,0.94,0.47,0.62,0.74,0.87,0.98,0.79,0.62,0.04,0.49,0.69,0.62,0.54,0.96
tweetsharp.csv,0.56,0.54,0.79,0.58,0.53,0.98,0.72,0.5,0.85,0.61,0.93,0.77,0.2,0.94
wxcode.csv,0.88,0.51,0.87,0.83,0.95,0.63,0.86,0.63,0.94,0.93,1.0,0.0,0.93,1.0
