,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.69,0.75,0.47,0.95,0.72,0.88,0.55,0.3,0.58,0.85,0.59,0.86,0.52,1.0
bibedt.csv,0.81,0.67,0.33,0.45,0.61,0.31,0.54,1.0,0.35,0.54,0.32,0.29,0.48,0.66
brlcad.csv,0.73,0.58,0.43,0.24,0.06,0.31,0.53,0.6,0.55,0.31,0.41,0.14,0.5,0.17
co-ode-owl-plugins.csv,0.29,0.58,0.43,0.95,0.89,0.75,0.4,0.1,0.68,0.69,1.0,0.86,0.62,0.94
firebreath.csv,0.78,0.67,0.93,0.46,0.33,0.69,0.99,0.4,0.45,0.23,0.14,0.43,0.57,0.91
fltk.csv,0.39,0.58,0.57,0.93,0.22,0.69,0.32,0.3,0.55,0.54,0.41,0.57,0.43,0.49
glas.csv,0.55,0.17,0.4,0.22,0.5,0.69,0.41,0.4,0.29,0.31,0.97,0.29,0.4,0.51
gretl.csv,0.88,1.0,0.78,0.75,1.0,0.69,0.99,1.0,0.77,1.0,0.86,0.71,0.79,0.8
konversation.csv,0.06,0.92,0.05,0.36,0.06,0.56,0.17,0.1,0.29,0.0,0.0,0.29,0.05,0.31
micomt.csv,0.25,0.75,0.52,0.81,0.56,0.81,0.54,0.1,0.68,0.92,0.38,0.71,0.76,0.6
openxava.csv,0.35,0.67,0.23,0.7,0.22,0.94,0.45,0.4,0.58,0.23,0.59,0.57,0.29,0.4
sumatrapdf.csv,0.96,0.75,0.75,0.87,0.33,1.0,0.8,0.5,0.97,0.62,0.49,0.86,0.74,0.83
tweetsharp.csv,0.7,0.75,0.88,0.73,0.67,0.62,0.56,0.6,0.77,0.92,0.73,0.43,1.0,0.49
wxcode.csv,0.13,0.5,0.13,0.18,0.06,0.38,0.14,0.4,0.06,0.08,0.0,1.0,0.07,0.0
