,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.49,0.75,0.5,0.72,0.74,0.0,0.55,0.35,0.59,0.72,0.58,0.73,0.56,1.0
bibedt.csv,0.68,0.67,0.37,0.48,0.64,0.29,0.57,1.0,0.39,0.46,0.36,0.33,0.51,0.7
brlcad.csv,0.77,0.54,0.46,0.27,0.07,0.34,0.46,0.6,0.33,0.31,0.42,0.16,0.52,0.19
co-ode-owl-plugins.csv,0.32,0.61,0.46,0.42,0.91,0.65,0.44,0.12,0.68,0.7,0.21,0.81,0.6,0.44
firebreath.csv,0.37,0.66,0.94,0.46,0.36,0.27,0.0,0.42,0.49,0.26,0.17,0.46,0.6,0.13
fltk.csv,0.42,0.62,0.58,0.93,0.26,0.32,0.37,0.35,0.6,0.58,0.45,0.61,0.48,0.54
glas.csv,0.56,0.2,0.44,0.26,0.52,0.64,0.45,0.44,0.31,0.32,0.98,0.33,0.44,0.53
gretl.csv,0.45,0.57,0.57,0.67,0.33,0.43,0.99,0.47,0.62,0.27,0.32,0.56,0.26,0.39
konversation.csv,0.07,0.93,0.06,0.4,0.07,0.61,0.2,0.12,0.34,0.0,0.0,0.33,0.06,0.36
micomt.csv,0.29,0.71,0.53,0.71,0.42,0.23,0.55,0.12,0.7,0.93,0.41,0.68,0.72,0.48
openxava.csv,0.39,0.66,0.26,0.58,0.25,0.95,0.48,0.42,0.52,0.27,0.6,0.57,0.31,0.45
sumatrapdf.csv,0.24,0.71,0.66,0.6,0.35,0.09,0.53,0.52,0.97,0.63,0.5,0.69,0.69,0.2
tweetsharp.csv,0.65,0.69,0.55,0.66,0.65,0.28,0.53,0.62,0.47,0.72,0.34,0.44,0.95,0.39
wxcode.csv,0.16,0.55,0.16,0.21,0.07,0.43,0.17,0.44,0.07,0.1,0.0,1.0,0.09,0.0
