,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.34,0.43,0.48,0.78,0.58,0.17,0.67,0.35,0.51,0.39,0.53,0.22,0.66,0.99
bibedt.csv,0.45,0.33,0.41,0.53,0.49,0.08,0.68,1.0,0.4,0.23,0.39,0.18,0.6,0.68
brlcad.csv,0.8,0.2,0.42,0.31,0.05,0.12,0.63,0.36,0.35,0.14,0.38,0.04,0.61,0.12
co-ode-owl-plugins.csv,0.23,0.34,0.44,0.73,0.91,0.23,0.54,0.11,0.61,0.5,0.59,0.32,0.69,0.44
firebreath.csv,0.35,0.29,0.95,0.5,0.19,0.15,0.9,0.25,0.47,0.15,0.21,0.16,0.69,0.4
fltk.csv,0.29,0.42,0.52,0.93,0.24,0.15,0.47,0.4,0.64,0.48,0.46,0.36,0.58,0.59
glas.csv,0.4,0.11,0.45,0.33,0.31,0.23,0.56,0.32,0.26,0.15,0.99,0.12,0.53,0.41
gretl.csv,0.39,0.25,0.53,0.7,0.3,0.16,0.99,0.36,0.53,0.32,0.54,0.15,0.74,0.38
konversation.csv,0.1,0.96,0.09,0.46,0.1,0.53,0.28,0.18,0.4,0.0,0.0,0.2,0.09,0.47
micomt.csv,0.24,0.32,0.48,0.74,0.2,0.17,0.66,0.08,0.66,0.96,0.4,0.23,0.8,0.33
openxava.csv,0.3,0.29,0.26,0.64,0.12,0.94,0.59,0.25,0.43,0.17,0.57,0.19,0.39,0.43
sumatrapdf.csv,0.4,0.32,0.57,0.72,0.16,0.2,0.82,0.33,0.97,0.41,0.45,0.2,0.78,0.37
tweetsharp.csv,0.45,0.28,0.56,0.69,0.35,0.14,0.67,0.43,0.48,0.39,0.48,0.12,0.97,0.27
wxcode.csv,0.16,0.46,0.22,0.29,0.09,0.48,0.24,0.36,0.1,0.1,0.0,1.0,0.13,0.0
