,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.37,0.4,0.55,0.54,0.58,0.51,0.42,0.28,0.93,0.25
chaosrts.csv,0.0,0.0,0.0,0.05,0.13,0.44,0.36,0.09,0.0,0.99
lazarus-ccr.csv,0.55,0.93,0.46,0.59,0.53,0.44,0.51,0.41,0.0,0.72
linuxsh.csv,0.76,0.53,0.92,0.59,0.39,0.61,0.43,0.69,0.47,0.49
migen.csv,0.71,0.33,0.6,0.53,0.49,1.0,0.23,0.35,0.49,0.49
moviesandbox.csv,0.72,0.49,0.4,0.5,0.94,0.45,0.23,0.15,0.27,0.51
sauerbraten.csv,0.96,0.57,0.53,0.58,0.56,0.57,0.28,0.14,0.39,0.53
scite-ru.csv,0.66,0.55,0.31,0.53,0.61,0.62,0.83,0.41,0.22,0.48
vrjuggler.csv,0.49,0.14,0.11,0.05,0.19,0.41,0.28,0.79,0.04,0.09
xuggle.csv,0.41,0.36,0.33,0.87,0.53,0.46,0.41,0.0,0.45,0.1
