,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.37,0.43,0.5,0.48,0.48,0.39,0.61,0.46,0.51,0.78
chaosrts.csv,0.33,0.35,0.44,0.48,0.39,0.36,0.37,0.36,0.45,0.41
lazarus-ccr.csv,0.55,0.57,0.56,0.59,0.57,0.48,0.65,0.89,0.45,0.52
linuxsh.csv,0.35,0.52,0.92,0.58,0.44,0.49,0.38,0.49,0.63,0.56
migen.csv,0.37,0.56,0.71,0.67,0.63,0.53,0.9,0.95,0.77,0.45
moviesandbox.csv,0.38,0.57,0.67,0.68,0.49,0.48,0.88,0.88,0.73,0.67
sauerbraten.csv,0.38,0.45,0.52,0.74,0.48,0.44,0.74,0.91,0.52,0.51
scite-ru.csv,0.36,0.59,0.85,0.78,0.41,0.46,0.7,0.81,0.92,0.39
vrjuggler.csv,0.61,0.91,0.67,0.89,0.89,0.79,0.8,0.92,0.86,0.92
xuggle.csv,0.62,0.71,0.48,0.98,0.42,0.63,0.41,0.0,0.5,0.93
