,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.77,0.38,0.64,0.52,0.66,0.62,0.38,0.25,0.94,0.22
chaosrts.csv,1.0,1.0,1.0,1.0,0.91,0.94,1.0,0.94,1.0,0.99
lazarus-ccr.csv,0.54,0.92,0.64,0.61,0.57,0.47,0.48,0.38,1.0,0.73
linuxsh.csv,0.9,0.54,0.91,0.76,0.7,0.74,0.71,0.88,0.45,0.5
migen.csv,0.77,0.29,0.64,0.52,0.45,1.0,0.19,0.31,0.5,0.47
moviesandbox.csv,0.77,0.46,0.36,0.46,0.93,0.41,0.19,0.12,0.24,0.46
sauerbraten.csv,0.95,0.54,0.91,0.54,0.52,0.53,0.24,0.12,0.78,0.53
scite-ru.csv,0.77,0.58,0.27,0.54,0.59,0.79,0.81,0.38,0.19,0.94
vrjuggler.csv,0.44,0.12,0.09,0.04,0.16,0.38,0.24,0.75,0.03,0.07
xuggle.csv,0.38,0.33,1.0,0.85,0.64,0.47,0.62,0.0,0.89,0.08
