,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.73,0.24,0.64,0.46,0.31,0.36,0.32,0.46,0.8,0.53,0.71,0.55
gamestone.csv,0.29,0.56,0.29,0.35,0.24,0.0,0.28,0.23,0.46,0.08,0.18,0.47
gbif-providertoolkit.csv,0.64,0.0,0.45,0.4,0.55,0.11,0.64,0.41,0.26,0.33,0.55,0.31
heekscad.csv,0.81,0.39,0.63,0.46,0.35,0.56,0.57,0.48,0.62,0.43,0.83,0.57
igarden.csv,0.62,0.33,0.61,0.51,0.28,0.64,0.22,0.39,0.66,0.45,0.65,0.54
levent.csv,0.62,0.11,0.13,0.11,0.32,0.75,0.51,0.11,0.0,0.0,0.31,0.0
libmesh.csv,0.55,0.0,0.18,0.18,0.28,0.0,0.65,0.46,0.26,0.0,0.6,0.2
openmsx.csv,0.71,0.26,0.34,0.49,0.29,0.42,0.39,0.57,0.73,0.0,0.34,0.24
pnotepad.csv,0.7,0.3,0.63,0.47,0.29,0.68,0.49,0.43,0.78,0.33,0.9,0.59
quark.csv,0.56,0.33,0.49,0.16,0.31,0.15,0.11,0.22,0.05,0.59,0.44,0.34
tango-cs.csv,0.73,0.38,0.53,0.47,0.33,0.08,0.21,0.5,0.76,0.29,0.68,0.45
xcsoar.csv,0.74,0.29,0.7,0.42,0.44,0.43,0.26,0.4,0.6,0.33,0.29,0.47
