,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.45,0.43,0.35,0.31,0.52,0.67,0.53,0.53,0.36,0.44,0.5,0.35
gamestone.csv,0.93,0.47,0.95,0.55,0.68,0.0,0.42,0.75,0.54,0.92,0.86,0.36
gbif-providertoolkit.csv,0.58,0.94,0.81,0.71,0.53,0.75,0.96,0.71,0.95,0.55,0.72,0.95
heekscad.csv,0.36,0.43,0.38,0.41,0.39,0.37,0.5,0.41,0.4,0.36,0.39,0.35
igarden.csv,0.43,0.7,0.4,0.44,0.37,0.45,0.36,0.48,0.36,0.33,0.46,0.3
levent.csv,0.59,0.91,0.8,0.75,0.38,0.45,0.86,0.88,0.0,0.0,0.9,0.0
libmesh.csv,0.69,0.86,0.97,0.89,0.77,0.0,0.83,0.62,0.95,0.8,0.66,0.93
openmsx.csv,0.47,0.42,0.73,0.33,0.67,0.94,0.47,0.63,0.46,0.9,0.82,0.91
pnotepad.csv,0.41,0.55,0.37,0.31,0.34,0.42,0.45,0.43,0.32,0.34,0.41,0.33
quark.csv,0.54,0.75,0.68,0.86,0.92,0.75,0.91,0.93,0.5,0.58,0.73,0.57
tango-cs.csv,0.41,0.5,0.44,0.34,0.37,0.67,0.57,0.4,0.34,0.39,0.47,0.46
xcsoar.csv,0.36,0.83,0.38,0.37,0.42,0.5,0.37,0.48,0.39,0.34,0.75,0.39
