,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.04,0.44,0.93,0.73,1.0,0.7,0.95,0.81,0.91,0.64,1.05,0.7,0.88,0.87,0.75
e-bio-flow.csv,0.79,0.83,0.47,0.95,1.03,0.73,0.03,1.0,0.91,0.65,0.76,0.88,0.63,0.93,0.8
haggle.csv,0.57,0.56,0.82,0.51,0.4,0.07,0.69,0.33,0.5,0.43,0.75,0.62,0.69,0.75,0.55
hannosset.csv,1.0,0.96,0.93,0.99,1.0,0.99,0.97,1.0,1.0,1.0,0.0,0.99,0.67,0.97,1.0
jas.csv,0.56,0.64,0.85,0.95,1.03,0.82,0.87,0.62,1.0,0.95,1.02,0.79,0.0,0.52,0.86
jbpm.csv,0.58,0.61,0.87,0.06,0.9,0.76,0.62,1.02,0.91,0.85,0.83,0.68,0.62,0.91,0.84
jgossipforum.csv,1.0,1.0,0.92,0.72,0.7,0.99,0.84,0.4,0.91,1.0,1.0,0.96,1.0,0.82,0.97
joustsim.csv,0.62,0.87,0.93,0.74,1.1,0.59,0.81,0.31,0.0,0.48,1.1,0.53,0.74,0.77,0.71
log4net.csv,1.0,1.0,0.92,0.98,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
madman.csv,1.0,0.86,1.0,0.95,1.0,0.92,0.83,1.0,0.91,0.12,1.0,0.9,1.0,0.89,0.95
ngl.csv,0.62,0.55,0.61,0.6,0.73,0.63,0.69,0.37,0.6,0.55,0.59,0.02,0.54,1.09,0.64
nunit.csv,0.85,0.55,0.61,0.66,1.0,0.9,0.66,0.81,0.66,0.88,0.83,0.9,0.75,0.9,0.03
piccolo2d.csv,1.0,1.0,0.08,0.81,1.0,0.99,1.01,1.0,0.82,1.0,1.0,0.94,0.88,1.0,0.95
sblim.csv,1.0,0.09,0.69,0.92,1.0,1.0,1.0,1.0,1.0,0.88,1.0,0.98,1.0,0.95,0.9
wsmt.csv,0.6,0.68,0.9,0.89,1.04,0.57,0.74,0.81,0.94,0.65,1.03,0.68,0.61,0.04,0.69
