,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.96,0.5,0.08,0.34,0.0,0.69,0.18,0.04,0.17,0.33,0.0,0.73,0.07,0.4,0.27
e-bio-flow.csv,0.5,0.31,0.27,0.05,0.0,0.81,1.0,0.0,0.17,0.17,0.07,0.47,0.27,0.38,0.17
haggle.csv,0.45,0.31,0.11,0.2,0.06,0.96,0.38,0.06,0.32,0.26,0.07,0.72,0.08,0.51,0.31
hannosset.csv,0.0,0.1,0.08,0.03,0.0,0.25,0.17,0.0,0.0,0.0,1.0,0.14,0.1,1.0,0.0
jas.csv,0.54,0.62,0.33,0.09,0.0,0.58,0.67,0.05,0.0,0.05,0.0,0.54,1.0,0.68,0.25
jbpm.csv,0.42,0.28,0.09,1.0,0.01,0.61,0.42,0.01,0.08,0.1,0.06,0.56,0.09,0.53,0.15
jgossipforum.csv,0.0,0.0,0.25,0.34,0.04,1.0,0.45,0.75,1.0,0.0,0.0,1.0,0.0,0.54,1.0
joustsim.csv,0.41,0.23,0.14,0.25,0.0,0.73,0.46,0.07,1.0,0.23,0.0,0.66,0.06,0.53,0.41
log4net.csv,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.43,0.0,0.09,0.0,0.86,0.71,0.0,0.33,1.0,0.0,0.83,0.0,0.57,0.15
ngl.csv,0.44,0.29,0.18,0.16,0.02,0.69,0.42,0.06,0.2,0.23,0.11,0.99,0.1,0.32,0.25
nunit.csv,0.8,0.29,0.2,0.39,0.0,0.67,0.55,0.04,0.29,0.17,0.5,0.69,0.29,0.5,1.0
piccolo2d.csv,0.0,0.0,1.0,0.28,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.54,0.1,0.0,0.4
sblim.csv,0.0,0.91,0.67,0.29,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.38,0.0,0.5,0.5
wsmt.csv,0.5,0.23,0.07,0.07,0.0,0.78,0.62,0.04,0.07,0.27,0.0,0.65,0.09,0.97,0.22
