,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.96,0.59,0.08,0.27,0.0,0.36,0.07,0.2,0.09,0.38,0.0,0.31,0.12,0.23,0.28
e-bio-flow.csv,0.22,0.18,0.62,0.08,0.0,0.28,0.97,0.0,0.09,0.5,0.33,0.15,0.38,0.09,0.28
haggle.csv,0.85,0.55,0.23,0.62,0.67,1.0,0.47,0.8,0.55,0.75,0.5,0.41,0.38,0.51,0.57
hannosset.csv,0.0,0.05,0.08,0.02,0.0,0.01,0.03,0.0,0.0,0.0,1.0,0.01,0.38,0.03,0.0
jas.csv,0.48,0.36,0.15,0.06,0.0,0.26,0.13,0.4,0.0,0.12,0.0,0.26,1.0,0.6,0.15
jbpm.csv,0.63,0.86,0.31,0.94,0.33,0.51,0.57,0.6,0.18,0.38,0.33,0.52,0.88,0.89,0.28
jgossipforum.csv,0.0,0.0,0.08,0.29,0.33,0.01,0.17,0.6,0.09,0.0,0.0,0.04,0.0,0.2,0.02
joustsim.csv,0.56,0.14,0.08,0.27,0.0,0.51,0.2,0.8,1.0,0.75,0.0,0.66,0.5,0.29,0.3
log4net.csv,0.0,0.0,0.08,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.14,0.0,0.06,0.0,0.08,0.17,0.0,0.09,0.88,0.0,0.1,0.0,0.11,0.05
ngl.csv,0.89,0.82,0.77,0.75,0.67,0.57,0.83,1.0,0.73,1.0,0.67,0.99,0.62,0.34,0.7
nunit.csv,0.15,0.64,0.46,0.35,0.0,0.11,0.37,0.2,0.36,0.12,0.17,0.1,0.25,0.11,0.98
piccolo2d.csv,0.0,0.0,0.92,0.19,0.0,0.01,0.0,0.0,0.18,0.0,0.0,0.07,0.12,0.0,0.05
sblim.csv,0.0,0.91,0.31,0.08,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.0,0.06,0.1
wsmt.csv,0.44,0.45,0.15,0.21,0.0,0.49,0.27,0.2,0.18,0.38,0.0,0.35,0.5,0.97,0.55
