,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.99,1.0,0.87,0.7,0.64,0.23,0.96,0.32,0.81,0.57,0.96,0.82,0.88,1.0,0.6,0.95
calcubetimer.csv,0.91,1.0,0.97,1.0,0.88,0.41,0.65,0.68,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.93
chaosrts.csv,0.88,1.0,1.0,1.0,0.68,0.41,0.65,0.85,1.0,0.66,0.55,1.0,1.0,0.88,0.78,0.99
dxengine.csv,0.27,0.04,0.17,0.96,0.2,0.23,0.02,0.15,0.17,0.14,0.19,0.0,0.12,0.5,0.12,0.14
freedom-erp.csv,0.02,0.0,0.0,0.0,0.19,0.0,0.0,0.02,0.0,0.2,1.0,0.09,0.12,0.0,0.0,0.11
joustsim.csv,0.37,0.29,0.2,0.44,0.03,0.18,0.31,0.15,0.27,0.2,0.32,1.0,0.5,0.25,0.35,0.22
jsidplay2.csv,0.67,0.45,0.4,0.7,1.0,0.64,0.41,0.6,0.75,0.91,0.99,0.82,0.62,0.5,0.32,0.68
madman.csv,0.03,0.02,0.07,0.07,0.0,0.14,0.02,0.08,0.04,0.12,0.05,0.0,1.0,0.0,0.15,0.02
mclient-mume.csv,0.44,0.2,0.97,0.56,0.12,0.41,0.55,0.12,0.36,0.18,0.43,0.09,0.62,0.12,0.35,0.24
primefaces.csv,0.45,0.63,0.73,0.93,0.37,0.18,0.65,0.72,0.8,0.32,0.01,0.27,0.88,0.75,1.0,0.49
reaper3d.csv,0.02,0.02,0.0,0.04,0.17,0.73,0.35,0.02,0.01,0.16,0.0,0.27,0.0,0.88,0.42,0.0
sblim.csv,0.01,0.02,0.0,0.0,0.05,1.0,0.0,0.12,0.0,0.07,0.57,0.0,0.0,0.0,0.1,0.2
sevenupdate.csv,0.84,1.0,1.0,0.96,0.81,0.64,0.92,1.0,0.92,0.75,0.68,0.91,1.0,1.0,0.95,0.96
springside.csv,0.55,0.47,0.37,0.59,0.32,0.86,1.0,0.4,0.37,0.62,0.57,0.91,0.75,0.5,0.78,0.56
swtfox.csv,0.42,0.43,0.63,0.74,0.2,0.82,0.49,0.98,0.54,0.34,0.0,0.09,0.62,0.25,0.57,0.36
tmva.csv,0.83,0.43,0.5,0.59,0.32,0.55,0.43,0.57,0.98,0.41,0.64,0.64,0.88,0.62,0.35,0.9
