,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.58,0.13,0.53,0.64,0.42,0.55,0.63,0.6,0.64,0.32,0.52,0.18,0.63,0.47,0.77,0.32,0.58,0.98
decidr.csv,0.35,0.29,0.58,0.66,0.37,0.51,0.98,0.64,0.6,0.34,0.45,0.3,0.69,0.43,0.45,0.33,0.56,0.62
doomlegacy.csv,0.6,0.11,0.52,0.65,0.44,0.33,0.56,0.62,0.52,0.35,0.54,0.19,0.52,0.34,0.99,0.31,0.46,0.67
elmo.csv,0.03,1.0,0.0,0.08,0.02,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.03
gpac.csv,0.46,0.2,0.51,0.38,0.4,0.42,0.35,0.98,0.47,0.27,0.55,0.22,0.44,0.47,0.53,0.3,0.67,0.62
illumination.csv,0.48,0.18,0.41,0.33,0.35,0.34,0.19,0.51,0.33,0.0,0.36,0.19,0.31,0.37,0.61,0.94,0.5,0.31
img-browse-sort.csv,0.36,0.14,0.58,0.62,0.35,0.45,0.55,0.41,0.36,0.32,0.61,0.34,0.6,1.0,0.26,0.29,0.34,0.45
ktc.csv,0.97,0.11,0.52,0.48,0.61,0.46,0.49,0.4,0.33,0.38,0.52,0.26,0.65,0.57,0.49,0.4,0.25,0.56
neoengine.csv,0.56,0.15,0.97,0.71,0.38,0.47,0.52,0.65,0.63,0.45,0.52,0.21,0.53,0.36,0.74,0.31,0.48,0.67
nicepress.csv,0.53,0.06,0.58,0.16,0.57,1.0,0.39,0.51,0.48,0.19,0.45,0.25,0.49,0.11,0.37,0.27,0.42,0.53
omseek.csv,0.37,0.0,0.13,0.29,0.2,0.19,0.31,0.36,0.17,0.45,0.23,0.95,0.17,0.0,0.11,0.21,0.23,0.23
pi-qmc.csv,0.59,0.14,0.51,0.48,0.56,0.51,0.54,0.7,0.54,0.25,0.56,0.3,0.55,0.41,0.67,0.2,0.98,0.53
rosegarden.csv,0.55,0.13,0.56,0.51,0.99,0.6,0.44,0.51,0.48,0.29,0.52,0.28,0.72,0.33,0.58,0.29,0.55,0.55
sigil.csv,0.58,0.15,0.6,0.66,0.44,0.58,0.62,0.57,0.5,0.43,0.53,0.31,1.0,0.47,0.39,0.21,0.46,0.57
smarttag.csv,0.43,0.14,0.38,0.41,0.35,0.23,0.55,0.69,0.62,1.0,0.3,0.13,0.34,0.37,0.61,0.24,0.24,0.65
sylpheed-claws.csv,0.6,0.13,0.5,0.63,0.39,0.5,0.56,0.61,0.98,0.42,0.51,0.25,0.38,0.13,0.53,0.19,0.71,0.55
xemeiah.csv,0.69,0.21,0.56,0.34,0.58,0.55,0.52,0.56,0.53,0.21,0.98,0.3,0.53,0.24,0.62,0.28,0.58,0.52
zscreen.csv,0.61,0.13,0.57,0.97,0.49,0.45,0.68,0.69,0.58,0.37,0.66,0.21,0.79,0.49,0.54,0.26,0.4,0.77
