,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.43,0.08,0.41,0.69,0.3,0.47,0.57,0.55,0.58,0.29,0.48,0.1,0.7,0.32,0.77,0.21,0.57,0.98
decidr.csv,0.44,0.19,0.49,0.69,0.34,0.44,1.0,0.54,0.53,0.26,0.64,0.19,0.75,0.3,0.81,0.22,0.47,0.84
doomlegacy.csv,0.48,0.06,0.44,0.76,0.33,0.29,0.78,0.55,0.54,0.3,0.49,0.11,0.62,0.24,0.99,0.21,0.36,0.9
elmo.csv,0.29,1.0,0.0,1.0,0.09,0.33,0.61,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5
gpac.csv,0.53,0.13,0.52,0.57,0.39,0.4,0.52,0.97,0.51,0.22,0.55,0.16,0.68,0.41,0.78,0.23,0.65,0.86
illumination.csv,0.66,0.11,0.45,0.46,0.45,0.43,0.57,0.53,0.46,0.0,0.56,0.13,0.83,0.28,0.78,1.0,0.8,0.72
img-browse-sort.csv,0.6,0.08,0.67,0.82,0.69,0.41,0.69,0.58,0.56,0.36,0.64,0.25,0.74,1.0,1.0,0.25,0.71,0.91
ktc.csv,0.97,0.07,0.58,0.88,0.63,0.56,0.65,0.53,0.61,0.42,0.7,0.19,0.73,0.45,0.8,0.35,0.4,0.9
neoengine.csv,0.5,0.08,1.0,0.68,0.31,0.34,0.74,0.53,0.52,0.33,0.45,0.13,0.6,0.3,0.79,0.21,0.32,0.84
nicepress.csv,0.79,0.04,0.67,1.0,0.65,1.0,0.62,0.63,0.47,0.29,0.78,0.19,0.86,0.2,0.79,0.25,0.5,0.89
omseek.csv,0.51,0.0,0.8,0.8,0.33,0.29,0.56,0.54,0.55,0.41,0.48,1.0,0.71,0.0,0.62,0.25,0.75,0.82
pi-qmc.csv,0.53,0.08,0.5,0.62,0.5,0.55,0.73,0.58,0.52,0.3,0.57,0.21,0.88,0.38,0.81,0.15,1.0,1.0
rosegarden.csv,0.73,0.09,0.54,0.66,1.0,0.65,0.83,0.68,0.55,0.29,0.79,0.2,0.78,0.36,0.79,0.28,0.61,0.93
sigil.csv,0.53,0.08,0.59,0.89,0.37,0.49,0.7,0.55,0.67,0.3,0.51,0.2,1.0,0.36,0.72,0.15,0.62,0.85
smarttag.csv,0.41,0.07,0.36,0.64,0.3,0.38,0.64,0.54,0.47,1.0,0.4,0.09,0.67,0.32,0.7,0.2,0.33,0.85
sylpheed-claws.csv,0.63,0.08,0.52,0.68,0.4,0.45,0.61,0.62,0.98,0.31,0.55,0.17,0.76,0.12,0.73,0.14,0.7,0.9
xemeiah.csv,0.72,0.14,0.51,0.83,0.53,0.62,0.73,0.59,0.6,0.2,0.98,0.23,0.75,0.2,0.79,0.26,0.69,0.89
zscreen.csv,0.52,0.08,0.54,0.98,0.38,0.42,0.63,0.6,0.49,0.25,0.56,0.13,0.78,0.33,0.79,0.19,0.39,0.9
