,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.0,0.97,0.96,1.0,1.0,0.99
chrysalis.csv,0.24,0.22,1.0,0.67,0.56,0.83,0.33,0.32,0.23
jahshaka.csv,0.4,0.18,0.57,0.0,0.61,0.72,0.25,0.61,0.71
jam-daq.csv,0.39,0.06,0.13,0.0,0.13,0.3,0.04,0.1,0.07
jatlas.csv,0.79,0.43,0.74,0.33,0.15,0.65,0.25,0.31,0.13
jedit.csv,0.23,0.57,0.41,1.0,0.92,0.98,0.79,0.48,0.78
open-media-library.csv,0.76,0.16,0.3,1.0,0.39,0.59,0.33,0.36,0.12
panda3d.csv,0.44,0.16,0.46,0.0,0.34,0.31,0.71,0.31,0.57
wheat.csv,0.55,0.43,1.0,0.0,0.58,0.76,0.29,0.35,0.25
