,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.63,0.06,0.12,0.12,0.1,0.21,0.26,0.96,0.16,0.09
ivatamasks.csv,0.95,0.8,0.62,0.99,0.53,0.52,0.67,0.57,0.63,0.73
orc.csv,0.11,0.22,1.0,0.06,0.54,0.86,0.35,0.46,0.28,0.09
plato.csv,0.21,0.8,0.62,0.76,0.71,1.0,0.88,0.79,0.91,0.75
rodin-b-sharp.csv,0.58,0.57,0.38,0.38,0.2,0.33,0.97,0.25,0.33,0.08
umber.csv,1.0,0.28,0.38,0.45,0.14,0.19,0.43,0.25,0.21,0.25
unicase.csv,0.16,0.62,0.75,0.62,0.35,0.69,0.7,0.68,0.99,0.8
uwom.csv,0.58,0.3,0.44,0.24,0.29,0.67,0.7,0.57,0.52,0.95
vienna-add-in.csv,0.79,0.85,0.31,0.62,0.99,0.57,0.57,0.64,0.7,0.58
wpdev.csv,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.98
