,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.38,0.94,0.88,0.88,0.9,0.87,0.76,0.04,0.85,0.91
ivatamasks.csv,0.42,0.54,0.77,0.01,0.81,0.61,0.62,0.64,0.6,0.75
orc.csv,0.99,0.78,0.0,0.94,0.88,0.89,0.69,0.69,0.8,0.91
plato.csv,1.18,0.54,0.88,0.97,0.88,0.0,0.72,0.88,0.9,0.89
rodin-b-sharp.csv,0.44,0.43,0.65,0.64,0.8,0.71,0.03,0.77,0.7,0.96
umber.csv,0.0,0.72,0.7,0.64,0.86,0.95,0.62,0.77,0.8,0.8
unicase.csv,1.0,0.63,0.64,0.74,0.75,0.7,0.56,0.7,0.01,0.58
uwom.csv,0.63,0.7,0.61,0.76,0.73,0.82,0.6,0.57,0.66,0.05
vienna-add-in.csv,0.47,1.01,0.95,0.69,0.01,0.76,0.68,0.67,0.72,0.71
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99,0.96
