,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.69,0.88,0.91,0.92,0.88,0.75,0.72,0.96,0.99,0.98
ivatamasks.csv,0.37,0.39,0.34,0.43,0.35,0.36,0.42,0.39,0.36,0.41
orc.csv,0.68,0.81,0.94,0.86,0.57,0.47,0.92,0.76,0.8,0.97
plato.csv,0.44,0.48,0.37,0.52,0.54,0.45,0.48,0.47,0.4,0.47
rodin-b-sharp.csv,0.61,0.65,0.97,0.7,0.95,0.62,0.68,0.97,0.7,0.99
umber.csv,0.58,0.85,0.58,0.61,0.93,0.67,0.6,0.89,0.83,0.81
unicase.csv,0.55,0.48,0.42,0.59,0.57,0.38,0.51,0.51,0.44,0.45
uwom.csv,0.57,0.62,0.66,0.75,0.63,0.59,0.49,0.63,0.65,0.82
vienna-add-in.csv,0.47,0.44,0.4,0.61,0.54,0.41,0.57,0.45,0.49,0.53
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.4,0.38,0.4,0.39,0.39
