,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.8,0.55,0.47,0.53,0.7,0.63,0.72,0.71,0.86,0.66,0.92,0.45,0.88,0.8,0.5,0.52
amygdala.csv,0.41,0.89,0.56,0.67,0.75,0.67,0.83,0.85,0.91,0.43,0.44,0.83,0.54,0.54,0.83,0.63
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.83,0.0,0.88,0.5,0.83
dspace-gsoc.csv,0.42,0.44,0.49,0.55,0.65,0.38,0.33,0.36,0.39,0.45,0.36,0.62,0.4,0.56,0.55,0.44
hydrate.csv,0.37,0.36,0.39,0.42,0.42,0.47,0.38,0.39,0.43,0.48,0.33,0.45,0.34,0.41,0.41,0.34
ivef-sdk.csv,0.45,0.65,0.61,0.61,0.7,0.56,0.4,0.5,0.46,0.83,0.88,0.5,0.56,0.88,0.0,0.57
jmri.csv,0.52,0.55,0.59,0.82,0.53,0.61,0.52,0.75,0.67,0.61,0.73,0.78,0.57,0.83,0.75,0.38
kdenlive.csv,0.37,0.42,0.38,0.43,0.53,0.37,0.4,0.4,0.37,0.4,0.29,0.37,0.35,0.36,0.33,0.32
motu.csv,0.38,0.42,0.42,0.78,0.67,0.44,0.55,0.58,0.38,0.52,0.47,0.48,0.39,0.41,0.53,0.36
plplot.csv,0.49,0.46,0.57,0.49,0.5,0.59,0.5,0.41,0.53,0.65,0.35,0.47,0.4,0.55,0.41,0.39
projectfactory.csv,0.8,0.59,0.58,0.78,0.61,0.55,0.46,0.39,0.52,0.88,0.69,0.54,0.67,0.56,0.42,0.5
runuomondains.csv,0.49,0.45,0.46,0.47,0.52,0.52,0.38,0.43,0.41,0.45,0.41,0.74,0.57,0.53,0.52,0.46
somap.csv,0.43,0.39,0.39,0.47,0.48,0.53,0.4,0.38,0.41,0.41,0.29,0.44,0.38,0.43,0.37,0.36
taverna.csv,0.76,0.98,0.68,0.8,0.71,0.5,0.43,0.63,0.46,0.62,0.0,0.83,0.93,0.77,0.0,0.89
tigermud.csv,0.81,0.48,0.63,0.67,0.8,0.67,0.92,0.41,0.87,0.95,0.42,0.75,0.41,0.56,0.37,0.91
wishmaster.csv,0.67,0.63,0.67,0.76,0.67,0.69,0.54,0.67,0.69,0.61,0.88,0.67,0.62,0.8,0.67,0.42
