,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.8,0.6,0.55,0.17,0.24,0.21,0.57,1.0,0.1,0.35,0.15,0.36,0.6,0.68,0.86,0.89,0.03,0.52
archive-crawler.csv,0.81,0.78,0.45,0.21,0.34,0.4,0.57,0.89,0.06,0.48,0.18,0.46,0.59,0.47,0.92,1.0,0.01,0.64
customwars.csv,0.82,0.62,0.62,0.13,0.37,0.27,0.53,0.85,0.16,0.53,0.22,0.3,0.67,0.32,0.77,1.0,0.11,0.74
gbif-providertoolkit.csv,0.54,0.47,0.44,0.12,0.11,0.31,0.27,0.71,0.12,0.32,0.16,0.3,0.38,0.57,0.59,0.81,0.13,0.51
gss.csv,0.74,0.5,0.44,0.1,0.25,0.18,0.45,0.72,0.08,0.43,0.15,0.3,0.56,0.41,0.76,0.94,0.11,0.86
heekscad.csv,0.84,0.61,0.37,0.16,0.18,0.21,0.47,0.75,0.12,0.4,0.15,0.41,0.55,0.41,0.88,0.85,0.04,0.75
ikvm.csv,0.48,0.43,0.82,0.1,0.07,0.14,0.27,0.62,0.09,0.31,0.12,0.27,0.39,0.33,0.36,0.78,0.13,0.61
jaxen.csv,0.58,0.45,0.56,0.14,0.09,0.21,0.29,0.71,0.36,0.34,0.16,0.26,0.36,0.43,0.56,0.8,0.09,0.59
jcae.csv,0.78,0.95,0.53,0.32,0.27,0.41,0.63,0.8,0.17,0.59,0.23,0.38,0.67,0.5,0.95,0.91,0.04,0.65
levent.csv,0.69,0.71,0.71,0.28,1.0,0.22,0.44,0.83,0.12,0.36,0.16,0.35,0.5,0.45,0.75,1.0,0.0,0.59
nicepress.csv,0.65,0.51,0.26,0.07,0.19,0.24,0.37,0.68,0.1,0.63,0.15,0.35,0.41,0.42,0.59,0.93,0.09,0.5
pnotepad.csv,0.86,0.51,0.4,0.1,0.21,0.16,0.42,0.7,0.06,0.36,0.15,0.34,0.5,0.38,0.74,0.98,0.07,0.73
qcad2.csv,0.92,0.69,0.54,0.17,0.16,0.15,0.57,0.82,0.06,0.42,0.16,0.38,0.5,0.45,0.66,0.93,0.01,0.73
qedo.csv,0.38,0.3,0.38,0.07,0.07,0.16,0.07,0.5,0.11,0.19,0.0,0.25,0.09,0.0,0.07,0.83,0.23,0.71
quarkplusplus.csv,0.93,0.62,0.31,0.13,0.14,0.22,0.39,0.76,0.05,0.41,0.21,0.41,0.62,0.62,0.75,0.89,0.04,0.67
sigil.csv,0.83,0.61,0.41,0.23,0.22,0.32,0.51,0.88,0.09,0.48,0.16,0.41,0.52,0.55,0.84,0.93,0.02,0.61
xcsoar.csv,0.85,0.71,0.6,0.17,0.23,0.3,0.47,0.77,0.13,0.53,0.18,0.31,0.5,0.37,0.77,1.0,0.04,0.62
xuggle.csv,0.68,0.49,0.58,0.08,0.34,0.16,0.31,0.72,0.27,0.47,0.13,0.35,0.44,0.33,0.75,0.9,0.12,0.57
