,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.52,0.6,0.9,0.98,0.97,0.9,0.88,0.83,0.92,0.8,0.91,0.76,0.83,0.4,0.97
e-bio-flow.csv,0.91,0.65,0.47,0.47,0.46,0.76,0.53,0.67,0.86,0.39,0.35,0.86,0.88,0.89,0.61
haggle.csv,0.41,0.54,0.46,0.48,0.63,0.41,0.42,0.68,0.42,0.46,0.48,0.39,0.56,0.37,0.4
hannosset.csv,0.89,0.8,0.81,0.99,0.95,0.9,0.87,0.94,0.81,0.77,0.86,0.94,0.72,0.93,0.64
jas.csv,0.42,0.58,0.86,0.61,0.57,0.49,0.58,0.52,0.67,0.5,0.47,0.47,0.95,0.54,0.96
jbpm.csv,0.75,0.86,0.5,0.78,0.86,0.92,0.92,0.0,0.8,0.0,0.0,0.88,0.88,0.83,0.8
jgossipforum.csv,0.45,0.45,0.86,0.85,0.76,0.46,0.5,0.95,0.83,0.42,0.4,0.44,0.67,0.4,0.8
joustsim.csv,0.44,0.43,0.59,0.53,0.57,0.43,0.52,0.58,0.67,0.44,0.34,0.46,0.51,0.45,0.42
log4net.csv,0.92,0.92,0.6,0.78,0.95,0.89,0.51,0.5,0.36,0.65,0.37,0.98,0.92,0.57,0.6
madman.csv,0.57,0.57,0.96,0.74,0.69,0.49,0.7,0.83,0.66,0.45,0.58,0.55,0.62,0.45,0.66
ngl.csv,0.42,0.44,0.37,0.44,0.46,0.49,0.33,0.44,0.34,0.39,0.33,0.46,0.44,0.33,0.42
nunit.csv,0.52,0.66,0.51,0.47,0.57,0.59,0.42,0.56,0.71,0.53,0.44,0.59,0.56,0.58,0.58
piccolo2d.csv,0.8,0.88,0.47,0.71,0.93,0.63,0.65,0.0,0.62,0.64,0.92,0.95,0.8,0.6,0.95
sblim.csv,0.87,0.54,0.56,0.98,0.74,0.94,0.5,0.94,0.6,0.47,0.69,0.62,0.91,0.49,0.84
wsmt.csv,0.89,0.74,0.95,0.84,0.95,0.93,0.88,0.0,0.7,0.67,0.8,0.91,0.83,0.69,0.57
