,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.33,0.27,0.37,0.35,0.3,0.32,0.39,0.53,0.31,0.23,0.39
libtorrent.csv,0.4,0.21,0.26,0.3,0.35,0.24,0.32,0.3,0.26,0.29,0.41
mcmc-jags.csv,0.24,0.31,0.38,0.19,0.3,0.27,0.39,0.16,0.28,0.29,0.31
natpad.csv,0.2,0.21,0.4,0.25,0.24,0.22,0.29,0.29,0.22,0.29,0.2
nebuladevice.csv,0.42,0.19,0.42,0.4,0.37,0.23,0.36,0.34,0.2,0.3,0.43
olap-navigator.csv,0.34,0.19,0.37,0.21,0.21,0.18,0.25,0.19,0.2,0.29,0.3
pidgin.csv,0.17,0.19,0.23,0.16,0.21,0.2,0.28,0.35,0.19,0.28,0.21
salasaga.csv,0.19,0.23,0.36,0.23,0.25,0.26,0.28,0.14,0.24,0.26,0.24
sepgsql.csv,0.25,0.19,0.19,0.21,0.22,0.17,0.22,0.15,0.3,0.28,0.16
xstore.csv,0.22,0.17,0.41,0.09,0.32,0.18,0.22,0.25,0.23,0.28,0.36
xtreemfs.csv,0.22,0.19,0.37,0.19,0.22,0.18,0.23,0.12,0.29,0.28,0.18
