,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.82,1.0,1.0,0.55,1.0,0.86
jruby.csv,0.87,0.5,0.81,0.6,0.81,0.99
pdfedit.csv,0.88,0.44,0.6,1.0,0.88,0.86
rectracker.csv,0.81,0.38,1.0,0.5,0.95,0.86
wxlua.csv,0.78,0.37,0.68,0.54,1.0,0.87
x4x.csv,1.0,0.34,0.65,0.57,0.92,0.87
