,x4x.csv,graphmak.csv,rectracker.csv,pdfedit.csv,wxlua.csv,jruby.csv
graphmak.csv,0.25,0.93,0.06,0.17,0.15,0.12
jruby.csv,0.63,0.15,0.63,0.64,0.26,0.99
pdfedit.csv,0.55,0.6,0.45,0.98,0.2,0.42
rectracker.csv,0.64,0.49,0.98,0.45,0.76,0.49
wxlua.csv,0.3,0.27,0.17,0.53,1.0,0.21
x4x.csv,0.98,0.36,0.42,0.65,0.4,0.53
