,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.79,0.54,0.42,0.48,0.78,0.24
ingex.csv,0.69,0.65,0.26,0.52,0.26,0.21
jgnash.csv,0.54,0.19,0.5,0.18,0.56,0.45
mp-rechnungs-und-kundenverwaltung.csv,0.25,0.21,0.03,0.34,0.26,0.11
openefm.csv,0.34,0.56,0.71,0.39,0.66,0.5
yarp0.csv,0.58,0.14,0.21,0.72,0.56,0.59
