,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.81,0.29,0.26,0.49,0.71,0.52,0.17,0.29,0.05,0.58,0.43
ivef-sdk.csv,0.64,0.38,1.0,0.52,0.83,0.47,0.14,0.47,0.1,0.0,0.4
jaolt.csv,0.65,0.37,0.67,0.52,0.79,0.78,0.12,0.5,0.06,0.65,0.5
jmule.csv,0.58,0.36,0.75,0.42,0.78,0.42,0.38,0.33,0.04,0.61,0.81
jstock.csv,0.61,0.34,0.67,0.52,0.7,0.45,0.57,0.57,0.03,0.64,0.6
lphant.csv,0.64,0.37,0.56,0.55,0.73,0.68,0.26,0.52,0.11,0.63,0.53
novembre.csv,0.58,0.61,0.5,0.6,0.81,0.42,0.12,1.0,0.04,0.0,0.5
oorexx.csv,0.61,0.2,0.43,0.5,0.65,0.5,0.44,0.0,0.09,0.72,0.57
pi-qmc.csv,0.6,0.35,0.25,0.5,0.7,0.45,0.25,0.68,0.05,0.6,0.54
qedo.csv,0.53,0.17,0.97,0.5,0.6,0.38,0.15,0.12,0.22,0.57,0.4
yaprm.csv,0.72,0.42,0.9,0.68,0.81,0.8,0.21,0.65,0.11,0.6,0.43
