,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.22,0.85,0.97,0.97,0.83,0.42,0.81,0.95,0.85,0.88,1.0
ivef-sdk.csv,0.62,0.5,0.0,0.84,0.17,0.27,0.7,0.32,0.62,0.0,0.31
jaolt.csv,0.53,0.48,0.17,0.71,0.48,0.06,0.49,0.21,0.57,0.48,0.55
jmule.csv,0.59,0.45,0.07,0.66,0.55,0.79,0.42,0.46,0.5,0.52,0.17
jstock.csv,0.41,0.57,0.17,0.63,0.52,0.48,0.21,0.16,0.14,0.64,0.07
lphant.csv,0.66,0.48,0.23,0.63,0.72,0.24,0.81,0.21,0.63,0.44,0.55
novembre.csv,0.25,0.18,0.07,0.21,0.21,0.21,0.53,0.0,0.46,0.12,0.45
oorexx.csv,0.34,0.1,0.13,0.03,0.41,0.12,0.12,0.0,0.13,0.36,0.45
pi-qmc.csv,0.72,0.65,0.8,0.5,0.86,0.79,0.49,0.18,0.54,0.56,0.59
qedo.csv,0.44,0.25,0.07,0.03,0.34,0.3,0.51,0.52,0.27,0.52,0.41
yaprm.csv,0.44,0.35,0.03,0.32,0.1,0.03,0.7,0.11,0.55,0.64,0.72
