,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.39,0.85,1.29,0.97,0.85,0.53,0.94,0.95,1.01,0.9,1.0
ivef-sdk.csv,0.65,0.54,0.0,0.85,0.68,0.69,0.93,0.42,0.66,1.0,0.81
jaolt.csv,0.59,0.54,0.87,0.74,0.56,0.68,0.91,0.5,0.85,0.62,0.64
jmule.csv,0.71,0.56,0.91,0.83,0.6,0.8,0.45,0.62,0.92,0.68,0.21
jstock.csv,0.67,0.61,0.87,0.7,0.73,0.63,0.22,0.48,0.96,0.67,0.88
lphant.csv,0.67,0.54,0.9,0.67,0.75,0.33,0.82,0.46,0.65,0.65,0.61
novembre.csv,0.79,0.32,0.97,0.71,0.69,0.8,0.94,0.77,0.94,1.01,0.64
oorexx.csv,0.7,0.94,0.96,0.97,0.81,0.83,0.7,1.0,0.87,0.51,0.53
pi-qmc.csv,0.75,0.65,1.19,0.7,0.89,0.79,0.67,0.18,0.87,0.7,0.61
qedo.csv,0.77,0.9,0.11,0.97,0.87,0.79,0.86,0.97,0.32,0.74,0.78
yaprm.csv,0.47,0.48,0.87,0.45,0.83,0.82,0.8,0.51,0.61,0.72,0.8
