,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.44,0.33,0.44,0.33,0.38,0.45,0.36,0.43,0.53,0.38,0.31
ivef-sdk.csv,0.45,0.44,0.61,0.33,0.87,0.76,0.46,0.53,0.72,0.0,0.67
jaolt.csv,0.35,0.37,0.6,0.32,0.43,0.78,0.58,0.5,0.49,0.41,0.41
jmule.csv,0.47,0.43,0.88,0.44,0.38,0.33,0.38,0.62,0.42,0.52,0.46
jstock.csv,0.45,0.37,0.73,0.36,0.5,0.38,0.57,0.57,0.97,0.38,0.8
lphant.csv,0.32,0.37,0.62,0.32,0.32,0.44,0.3,0.48,0.32,0.4,0.32
novembre.csv,0.68,0.5,0.75,0.65,0.74,0.75,0.46,0.8,0.36,0.67,0.54
oorexx.csv,0.46,0.8,0.86,0.5,0.71,0.88,0.89,0.0,0.97,0.41,0.4
pi-qmc.csv,0.37,0.35,0.47,0.42,0.34,0.36,0.39,0.52,0.33,0.49,0.35
qedo.csv,0.77,0.92,0.67,0.5,0.96,0.94,0.62,0.82,0.71,0.67,0.6
yaprm.csv,0.34,0.42,0.9,0.43,0.94,0.8,0.39,0.71,0.76,0.45,0.38
