,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.24,0.47,0.26,0.28,0.47,0.33,0.31,0.47,0.0,0.47,0.04
elateportal.csv,0.27,0.43,0.22,0.62,0.29,0.36,0.37,0.57,0.98,0.39,0.98
etics.csv,0.24,0.27,0.69,0.51,0.31,0.0,0.18,0.41,0.04,0.27,0.09
lockss.csv,0.29,0.41,0.55,0.57,0.25,0.44,0.29,0.79,0.58,0.52,0.43
pcgen.csv,0.21,0.54,0.35,0.68,0.29,0.29,0.39,0.56,0.98,0.51,0.94
personalaccess.csv,0.4,0.34,0.5,0.68,0.3,0.31,0.27,0.86,0.17,0.5,0.13
pydev.csv,0.29,0.49,0.5,0.52,0.42,0.31,0.36,0.6,0.02,0.56,0.12
rhex.csv,0.49,0.44,0.0,0.44,0.22,0.31,0.23,0.63,0.91,0.44,0.15
stuproa-cims.csv,0.32,0.5,0.29,0.63,0.33,0.42,0.57,0.42,0.7,0.47,0.12
uclmda.csv,0.17,0.0,0.1,0.13,0.0,0.0,0.03,0.15,1.0,0.05,0.09
wgs-assembler.csv,0.26,0.49,0.36,0.53,0.4,0.4,0.26,0.73,0.61,0.45,0.0
