,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.65,0.7,0.79,0.82,0.4,0.61,0.78,0.72,1.01,0.64,0.98
elateportal.csv,0.57,0.69,0.89,0.48,0.77,0.57,0.66,0.67,1.0,0.93,0.05
etics.csv,0.76,0.81,0.24,0.61,0.64,1.0,0.89,0.75,1.1,0.82,0.95
lockss.csv,0.68,0.68,0.54,0.53,0.79,0.47,0.77,0.42,0.68,0.74,0.73
pcgen.csv,0.9,0.96,0.94,0.38,1.0,0.7,1.0,0.63,1.0,1.0,0.5
personalaccess.csv,0.75,0.75,0.62,0.4,0.73,0.65,0.78,0.31,0.97,0.72,0.93
pydev.csv,0.62,0.61,0.47,0.59,0.45,0.66,0.8,0.61,1.29,0.49,0.95
rhex.csv,0.28,0.65,1.0,0.67,0.75,0.85,0.83,0.62,0.23,0.63,1.23
stuproa-cims.csv,0.75,0.64,0.78,0.45,0.58,0.5,0.43,0.74,0.67,0.62,0.95
uclmda.csv,0.84,1.0,0.94,0.93,1.01,1.0,0.98,0.93,0.01,0.98,0.97
wgs-assembler.csv,0.69,0.58,0.7,0.59,0.48,0.54,0.8,0.48,0.74,0.72,1.0
