,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.71,0.66,0.74,0.68,0.58,0.6,0.71,0.66,0.44,0.32,0.64,0.47,0.75,0.23,0.67
grafx2.csv,0.52,0.63,0.64,0.55,0.76,0.57,0.55,0.49,0.67,0.2,0.76,0.4,0.64,0.38,0.62
keyczar.csv,0.04,0.17,0.17,0.14,0.09,0.04,0.34,0.07,0.18,0.31,0.4,0.0,0.0,0.69,0.18
lmms.csv,0.69,0.67,0.78,0.49,0.63,0.57,0.4,0.79,0.59,0.17,0.64,0.35,0.38,0.66,0.67
lufa-lib.csv,0.67,0.49,0.39,0.49,0.28,0.47,0.5,0.17,0.52,0.69,0.42,0.0,0.36,0.65,0.35
netatalk.csv,0.66,0.64,0.5,0.54,0.67,0.49,0.39,0.09,0.65,0.55,0.66,0.54,0.63,0.38,0.67
openmeetings.csv,0.54,0.52,0.92,0.4,0.42,0.65,0.57,0.61,0.64,0.3,0.61,0.65,0.52,0.15,0.51
openxava.csv,0.62,0.31,0.7,0.55,0.32,0.55,0.63,0.77,0.59,0.37,0.77,0.9,0.31,0.53,0.65
pgui.csv,0.06,0.2,0.05,0.0,0.69,0.0,0.01,0.42,0.73,0.05,0.61,0.0,0.72,0.0,0.0
qpe.csv,0.71,0.55,0.73,0.76,0.74,0.62,0.26,0.35,0.76,0.33,0.69,0.56,0.6,0.26,0.53
quickfast.csv,0.37,0.43,0.54,0.3,0.49,0.64,0.65,0.56,0.21,0.13,0.64,0.13,0.41,0.52,0.78
rsyslog.csv,0.67,0.61,0.73,0.76,0.7,0.6,0.36,0.25,0.67,0.56,0.52,0.05,0.67,0.23,0.47
sylpheed-claws.csv,0.35,0.17,0.32,0.0,0.0,0.63,0.69,0.73,0.64,0.0,0.0,0.47,0.0,0.0,0.0
xqilla.csv,0.1,0.26,0.35,0.05,0.25,0.14,0.23,0.15,0.11,0.21,0.33,0.99,0.11,0.31,0.27
yale.csv,0.5,0.51,0.5,0.0,0.0,0.5,0.3,0.49,0.38,0.17,0.0,0.0,0.47,0.43,0.41
