,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.42,0.36,0.39,0.5,0.47,0.39,0.35,0.34,0.4,0.5,0.37,0.33,0.38,0.82,0.39
grafx2.csv,0.49,0.44,0.36,0.58,0.34,0.51,0.41,0.79,0.45,0.61,0.38,0.34,0.42,0.65,0.42
keyczar.csv,0.97,0.97,0.92,0.91,0.91,0.96,0.77,0.8,0.97,0.76,0.76,0.0,0.0,0.43,0.9
lmms.csv,0.43,0.42,0.53,0.52,0.47,0.6,0.42,0.34,0.39,0.52,0.42,0.35,0.57,0.43,0.32
lufa-lib.csv,0.59,0.63,0.56,0.75,0.61,0.7,0.67,0.5,0.62,0.73,0.63,0.92,0.71,0.45,0.47
netatalk.csv,0.53,0.43,0.65,0.47,0.38,0.6,0.57,0.49,0.44,0.53,0.44,0.36,0.37,0.49,0.37
openmeetings.csv,0.54,0.51,0.53,0.42,0.53,0.45,0.4,0.73,0.42,0.44,0.37,0.42,0.48,0.83,0.43
openxava.csv,0.44,0.67,0.45,0.38,0.56,0.52,0.36,0.42,0.39,0.4,0.34,0.42,0.59,0.45,0.36
pgui.csv,0.96,0.96,0.39,0.54,0.43,0.0,0.0,0.69,0.56,0.53,0.41,0.0,0.4,0.43,0.39
qpe.csv,0.55,0.46,0.43,0.48,0.4,0.43,0.88,0.58,0.44,0.52,0.38,0.37,0.48,0.69,0.53
quickfast.csv,0.48,0.38,0.36,0.52,0.53,0.38,0.35,0.4,0.4,0.52,0.39,0.38,0.37,0.45,0.36
rsyslog.csv,0.48,0.43,0.51,0.44,0.33,0.57,0.53,0.5,0.42,0.51,0.45,0.39,0.4,0.73,0.56
sylpheed-claws.csv,0.44,0.4,0.39,0.52,0.53,0.37,0.45,0.35,0.4,0.52,0.42,0.4,0.36,0.43,0.38
xqilla.csv,0.98,0.82,0.5,0.0,0.89,0.97,0.96,0.5,0.79,0.61,0.71,0.9,0.88,0.83,0.88
yale.csv,0.7,0.63,0.95,0.53,0.57,0.69,0.99,0.69,0.95,0.54,0.43,0.97,0.61,0.8,0.77
