,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.39,0.11,0.13,0.59,0.81,0.4,0.07
emulemorph.csv,0.33,0.01,0.19,0.59,0.0,0.73,0.11
htmlunit.csv,0.37,0.0,0.13,0.26,1.0,0.51,0.08
jvcl.csv,0.67,0.5,0.21,0.34,1.0,0.62,0.09
m-m-m.csv,0.39,0.01,0.08,0.23,0.95,0.26,0.07
nh3d.csv,0.41,0.67,0.0,0.26,0.84,0.49,0.0
wgs-assembler.csv,0.47,0.01,0.1,0.27,1.0,0.6,0.06
