,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.48,0.73,0.99,0.6,0.78,0.67,0.77,0.54,0.58,0.36,0.51
ikvm.csv,0.61,0.52,0.47,0.74,0.61,0.86,0.43,0.74,0.53,0.59,0.59
libtorrent.csv,0.47,0.39,0.37,0.56,0.37,0.41,0.36,0.46,0.51,0.32,0.39
mcmc-jags.csv,0.39,0.51,0.67,0.6,0.39,0.52,0.38,0.44,0.58,0.33,0.4
moast.csv,0.66,0.57,0.42,0.44,0.37,0.46,0.71,0.44,0.53,0.47,0.44
olap-navigator.csv,0.6,0.56,0.5,0.65,0.43,0.71,0.57,0.48,0.53,0.36,0.39
pidgin.csv,0.53,0.41,0.39,0.75,0.35,0.56,0.5,0.48,0.44,0.39,0.44
salasaga.csv,0.36,0.35,0.63,0.5,0.43,0.37,0.53,0.5,0.39,0.33,0.58
sepgsql.csv,0.64,0.47,0.57,0.8,0.44,0.84,0.59,0.46,0.6,0.43,0.42
sigil.csv,0.51,0.45,0.98,0.8,0.53,0.92,0.38,0.43,0.66,0.32,0.38
xtreemfs.csv,0.55,0.46,0.61,0.83,0.41,0.65,0.48,0.44,0.54,0.39,0.46
