,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.72,0.33,0.04,0.33,0.86,0.5,0.87,0.66,0.27,0.9,0.82
ikvm.csv,0.61,0.83,0.03,0.19,0.69,0.14,0.83,0.39,0.15,0.72,0.78
libtorrent.csv,0.76,0.46,0.07,0.33,0.75,0.24,0.93,0.66,0.18,0.88,0.92
mcmc-jags.csv,0.71,0.4,0.05,0.7,0.75,0.23,0.88,0.68,0.33,0.86,0.89
moast.csv,0.59,0.35,0.05,0.26,0.72,0.19,0.8,0.58,0.15,0.91,1.0
olap-navigator.csv,0.98,0.5,0.09,0.47,0.84,0.61,1.0,0.71,0.17,0.92,0.91
pidgin.csv,0.93,0.45,0.07,0.75,0.87,0.44,0.95,0.83,0.22,0.94,0.92
salasaga.csv,0.7,0.44,0.04,0.29,0.79,0.21,0.85,0.86,0.3,0.88,0.74
sepgsql.csv,0.97,0.42,0.11,0.6,0.88,0.58,1.0,0.9,0.28,0.98,0.97
sigil.csv,0.8,0.42,0.13,1.0,0.87,0.46,0.9,0.84,0.31,0.86,0.89
xtreemfs.csv,0.92,0.42,0.1,0.67,0.86,0.46,0.95,0.88,0.28,0.96,0.94
