,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.25,0.88,0.76,0.51,0.84,0.17,0.33,0.25,0.5,0.57,0.46,0.77
autowikibrowser.csv,0.21,0.57,0.6,0.41,0.65,0.1,0.29,0.21,0.62,0.71,0.38,0.7
cities3d.csv,0.0,0.49,0.7,0.36,0.59,0.19,0.3,0.0,0.43,0.71,0.29,0.0
firebird.csv,0.19,0.55,0.67,0.49,0.82,0.13,0.28,0.22,0.4,0.54,0.35,0.58
hydrogen.csv,0.16,0.46,0.52,0.36,0.48,0.09,0.41,0.0,0.4,0.45,0.22,0.62
lphant.csv,0.21,0.64,0.59,0.47,0.63,0.16,0.28,0.21,0.75,0.62,0.39,0.82
qgo.csv,0.14,0.85,0.53,0.48,0.62,0.09,0.24,0.22,0.4,0.49,0.26,0.77
quickfast.csv,0.12,0.56,0.54,0.46,0.75,0.08,0.26,0.2,0.42,0.43,0.3,0.8
rhex.csv,0.31,0.51,0.54,0.33,0.51,0.1,0.28,0.18,1.0,0.38,0.31,0.67
rocrail.csv,0.24,0.69,0.64,0.37,0.66,0.11,0.34,0.24,0.43,0.66,0.48,0.74
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0
yield.csv,0.13,0.55,0.62,0.37,0.78,0.09,0.22,0.21,0.49,0.59,0.3,0.71
