,kvs.csv,phet.csv,jasperreports.csv,fido.csv,hibernate.csv,geogebra.csv,fluent-nhibernate.csv
fido.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fluent-nhibernate.csv,0.4,0.04,0.27,0.0,0.18,0.18,0.95
geogebra.csv,0.12,0.04,0.82,0.4,0.49,0.92,0.73
hibernate.csv,0.47,0.15,0.38,0.29,0.95,0.56,0.56
jasperreports.csv,0.06,0.09,0.93,0.29,0.24,0.18,0.4
kvs.csv,0.96,0.29,0.73,0.0,0.39,0.47,0.39
phet.csv,0.53,0.95,0.1,0.29,0.45,0.4,0.21
