,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.39,0.74,0.41,0.89,0.29,0.61,0.6,0.2,0.57,0.42,0.44,0.8,0.5,0.91,0.45,0.6,0.46,0.92
aztec.csv,0.21,0.37,0.17,0.22,0.83,0.79,0.52,0.5,0.71,0.29,0.47,0.72,0.51,0.6,0.28,0.54,0.62,0.12
bibedt.csv,0.82,0.67,0.36,0.11,0.5,0.82,0.68,0.7,0.43,0.84,0.36,0.67,0.72,0.89,0.62,0.76,0.31,0.19
esmf.csv,0.7,0.67,0.45,0.78,0.67,0.93,0.6,1.0,1.0,0.71,0.73,0.27,0.87,0.52,0.94,0.63,0.92,0.31
irrlicht.csv,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.69,1.0,1.0,1.0,1.0,0.0,1.0,1.0
jstock.csv,0.39,0.22,0.2,0.22,0.21,0.46,0.55,0.5,1.0,0.29,0.26,0.21,0.36,0.41,0.36,0.18,0.92,0.15
kowari.csv,0.58,0.22,0.38,0.44,1.0,0.75,0.48,1.0,0.57,0.29,0.42,0.45,0.58,0.28,0.91,0.26,0.85,0.27
lportal.csv,0.15,0.3,0.01,0.0,0.0,0.04,0.12,0.0,0.0,0.13,0.05,0.16,0.01,0.55,0.0,0.74,0.0,0.0
modellus.csv,0.85,0.67,0.28,0.11,0.25,0.54,0.57,0.2,0.57,0.48,0.48,0.77,0.75,0.64,0.3,0.79,0.31,0.38
open-data-kit.csv,0.39,1.0,0.54,0.78,0.96,0.79,0.9,0.9,1.0,0.55,0.87,0.93,0.76,0.99,0.96,0.97,0.92,0.62
pentahoanalysistool.csv,0.45,0.67,0.88,0.56,0.25,0.43,0.32,0.2,0.0,0.77,0.25,0.71,0.67,0.45,0.28,0.41,0.38,0.96
phet.csv,0.36,0.19,0.59,0.78,0.75,0.5,0.12,0.9,0.0,0.35,0.39,0.26,0.54,0.05,0.6,0.01,0.69,0.35
qtractor.csv,0.52,0.63,0.23,0.22,0.96,0.71,0.72,0.5,0.71,0.52,0.6,0.73,0.61,0.79,0.57,0.86,0.46,0.31
roller.csv,1.0,0.81,0.39,0.78,0.96,1.0,0.8,1.0,0.86,0.94,0.88,0.88,0.75,0.77,0.89,0.92,0.85,0.35
sumatrapdf.csv,0.94,0.93,0.86,0.33,0.62,0.93,1.0,0.8,1.0,0.74,0.75,0.91,0.97,0.97,0.74,0.99,1.0,0.92
synergyspace.csv,0.24,0.59,0.33,0.67,0.0,0.25,0.75,0.1,0.57,0.81,0.16,0.53,0.38,0.16,0.04,0.58,0.46,0.69
ultimairis.csv,0.06,0.93,0.93,0.22,0.17,0.61,1.0,0.0,0.86,1.0,0.76,0.95,0.7,0.37,0.66,1.0,0.38,0.73
voms.csv,0.55,0.81,0.14,1.0,0.04,0.39,0.75,0.1,1.0,0.52,0.28,0.35,0.28,0.83,0.21,0.91,0.15,0.31
