,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.98,0.82,0.9,0.75,1.0,0.96,0.98,0.7,0.72,1.0
chaperon.csv,0.0,0.02,0.02,1.0,0.34,0.08,0.02,0.08,0.07,0.12
geotools.csv,0.22,0.02,0.22,0.0,0.11,0.12,0.94,0.08,0.07,0.25
l2j.csv,0.74,0.53,0.57,0.25,0.43,0.46,0.49,0.6,0.99,0.5
mule.csv,0.97,0.24,0.25,0.25,0.45,0.58,0.51,0.28,0.25,0.4
nunit.csv,0.46,0.12,0.22,0.0,0.3,0.31,0.19,0.12,0.42,0.9
primefaces.csv,0.76,0.86,0.92,0.5,0.52,0.92,0.8,0.98,0.73,0.8
springside.csv,0.68,0.98,0.65,0.75,0.59,0.73,0.8,0.65,0.39,0.6
swtfox.csv,0.39,0.65,0.98,0.25,0.43,0.08,0.6,0.78,0.31,0.38
twostep.csv,0.65,0.59,0.35,0.5,0.43,0.96,0.62,0.5,0.47,0.68
