,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.38,0.45,0.38,0.41,0.43,0.42,0.4,0.38,0.44,0.34
chaperon.csv,0.0,0.8,0.92,0.75,0.95,0.83,0.83,0.88,0.93,0.97
geotools.csv,0.93,0.83,0.86,0.8,0.83,0.88,0.69,0.83,0.95,0.97
l2j.csv,0.36,0.44,0.38,0.6,0.4,0.53,0.46,0.4,0.45,0.54
mule.csv,0.46,0.91,0.61,0.71,0.44,0.47,0.54,0.61,0.74,0.67
nunit.csv,0.55,0.91,0.68,0.83,0.59,0.8,0.81,0.86,0.66,0.94
primefaces.csv,0.4,0.48,0.39,0.47,0.58,0.43,0.42,0.44,0.46,0.44
springside.csv,0.38,0.6,0.39,0.4,0.4,0.41,0.42,0.35,0.52,0.44
swtfox.csv,0.74,0.58,0.72,0.54,0.6,0.67,0.65,0.46,0.83,0.69
twostep.csv,0.46,0.62,0.49,0.62,0.4,0.48,0.46,0.49,0.5,0.57
