,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.55,0.7,1.0,1.0,0.93,0.53,0.65,0.87,0.79,0.75,0.71,0.89
miranda-icq.csv,0.27,0.26,0.07,0.0,0.46,0.41,0.35,0.52,0.94,0.43,0.27,0.16
pclasses.csv,0.64,0.26,0.0,0.33,0.0,0.0,0.0,0.04,0.06,0.1,0.18,0.11
pfaedit.csv,0.18,0.59,0.24,0.33,0.96,0.06,0.49,0.65,0.44,0.38,0.42,0.37
rockbox.csv,0.27,0.48,0.66,0.0,0.39,0.06,0.43,0.57,0.5,0.31,0.58,1.0
theresa.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.04,0.17,0.0,0.56,0.88,0.05,0.35,0.19,0.13,0.22,0.11
tktoolkit.csv,0.27,0.19,0.05,1.0,0.3,0.59,0.32,0.91,0.25,0.49,0.24,0.42
trinitycore.csv,0.18,0.04,0.05,0.67,0.57,0.0,0.14,0.13,0.19,0.11,0.93,0.16
tzod.csv,0.64,0.93,0.71,0.0,0.78,0.12,0.46,0.83,0.63,0.6,0.38,0.42
yaprm.csv,0.73,0.33,0.56,0.0,0.56,0.59,0.95,0.65,0.21,0.4,0.47,0.37
