,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.96,0.93,0.6,0.81,0.57,0.51,0.54,0.62,0.42,0.67,0.31
badtrinitycore.csv,0.08,0.21,0.17,0.91,0.13,0.0,0.0,0.17,0.14,0.2,0.25
boost.csv,0.85,0.88,0.67,0.66,0.57,0.47,0.87,0.56,0.97,0.7,0.62
electric-core.csv,0.73,0.74,0.9,0.77,0.61,0.93,0.62,0.27,0.66,0.83,0.81
java-gnome.csv,0.27,1.0,0.1,0.13,0.7,0.96,1.0,0.17,0.92,0.08,0.22
miranda-icq.csv,0.88,0.47,0.41,0.45,0.48,0.33,0.92,0.41,0.26,0.33,0.19
ofbiz.csv,0.08,0.46,0.15,0.28,0.43,0.19,0.13,0.43,0.3,0.99,0.22
olsrd.csv,1.0,0.97,0.82,0.83,0.7,0.42,0.73,0.81,0.62,0.73,0.53
opensim4opencog.csv,0.12,0.43,0.01,0.21,0.83,0.12,0.25,0.11,0.13,0.47,0.16
t-2.csv,0.19,0.34,0.4,0.32,0.35,0.21,0.5,0.94,0.63,0.39,0.16
xcf.csv,1.0,0.97,0.82,0.81,0.7,0.65,1.0,0.6,0.88,0.48,0.97
