,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.41,0.93,0.89,0.94,0.63,0.69,0.5,0.5,0.7,0.54,0.58,0.75
blue-c.csv,0.44,0.45,0.51,0.62,0.48,0.56,0.58,0.48,0.52,0.55,0.35,0.48
cities3d.csv,0.37,0.79,0.96,0.41,0.94,0.0,0.61,0.52,0.56,0.8,0.75,0.0
dynalloy.csv,0.43,0.65,0.7,0.69,0.56,0.67,0.36,0.79,0.54,0.53,0.41,0.63
firebird.csv,0.47,0.59,0.45,0.71,0.55,0.52,0.33,0.57,0.57,0.63,0.3,0.46
hydrogen.csv,0.37,0.39,0.39,0.43,0.43,0.56,0.34,0.42,0.53,0.0,0.88,0.44
nosleepsoftware.csv,0.87,0.67,0.98,0.55,0.86,0.0,0.95,0.67,0.0,0.86,0.8,0.86
openmalaria.csv,0.34,0.38,0.33,0.33,0.57,0.4,0.46,0.34,0.49,0.41,0.3,0.39
popeye-chess.csv,0.34,0.58,0.48,0.46,0.45,0.47,0.94,0.38,0.54,0.5,0.38,0.53
qgo.csv,0.42,0.36,0.37,0.39,0.42,0.54,0.34,0.41,0.45,0.4,0.29,0.41
xmoto.csv,0.75,0.41,0.49,0.38,0.5,0.59,0.65,0.39,0.49,0.5,0.53,0.49
yield.csv,0.36,0.47,0.35,0.36,0.47,0.49,0.34,0.36,0.51,0.42,0.29,0.4
