,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.67,0.44,0.38,0.0,0.56,0.54,0.66,0.82,0.53,0.6,0.75,0.4
blue-c.csv,0.5,0.52,0.59,0.0,0.71,0.68,0.74,0.81,0.37,0.64,0.69,0.66
cities3d.csv,0.61,0.41,0.15,0.57,0.23,0.0,0.66,0.59,0.6,0.09,0.28,0.0
dynalloy.csv,0.56,0.82,0.51,0.0,0.74,0.52,0.53,0.45,0.27,0.43,0.68,0.5
firebird.csv,0.57,0.42,0.58,0.0,0.54,0.76,0.69,0.53,0.68,0.52,0.13,0.54
hydrogen.csv,0.0,0.0,0.0,0.0,0.13,0.0,0.38,0.0,0.81,0.0,0.38,0.09
nosleepsoftware.csv,0.38,0.0,0.2,0.7,0.07,0.0,0.1,0.04,0.0,0.09,0.0,0.04
openmalaria.csv,0.65,0.54,0.64,0.56,0.43,0.69,0.73,0.74,0.73,0.76,0.4,0.63
popeye-chess.csv,0.68,0.42,0.5,0.22,0.71,0.78,0.17,0.63,0.73,0.6,0.64,0.56
qgo.csv,0.87,0.52,0.41,0.49,0.67,0.36,0.17,0.38,0.74,0.41,0.38,0.53
xmoto.csv,0.09,0.53,0.48,0.52,0.62,0.39,0.66,0.56,0.73,0.65,0.37,0.73
yield.csv,0.65,0.67,0.69,0.6,0.76,0.81,0.33,0.79,0.75,0.69,0.46,0.7
