,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.63,0.48,0.58,0.28,0.59,0.29,0.45,0.57,0.54
clamav.csv,0.58,0.56,0.51,0.22,0.51,0.21,0.0,0.96,0.44,0.38
dvd-create.csv,0.53,0.65,0.69,0.64,0.98,0.62,0.62,0.71,0.55,0.73
gbif-indexingtoolkit.csv,0.17,0.0,0.28,0.0,0.17,1.0,0.36,0.38,0.47,0.43
go.csv,0.53,0.53,0.99,0.6,0.66,0.57,0.29,0.52,0.32,0.63
kwave.csv,0.42,0.6,0.54,0.95,0.4,0.48,0.1,0.23,0.18,0.69
libarchive.csv,0.54,0.62,0.6,0.29,0.38,0.52,0.68,0.12,0.58,0.95
liferea.csv,0.45,1.0,0.44,0.14,0.31,0.48,0.0,0.18,0.42,0.4
linux-ntfs.csv,0.45,0.5,0.58,0.47,0.5,0.57,0.31,0.29,0.93,0.47
mpgravity.csv,0.45,0.42,0.5,0.38,0.34,0.61,1.0,0.44,0.48,0.48
