,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.69,0.44,0.56,0.24,0.64,0.25,0.4,0.73,0.51
clamav.csv,0.55,0.54,0.47,0.19,0.46,0.18,0.0,0.95,0.42,0.33
dvd-create.csv,0.78,0.92,0.9,0.69,0.97,0.73,0.67,0.8,0.81,0.8
gbif-indexingtoolkit.csv,0.14,0.0,0.25,0.0,0.14,1.0,0.33,0.35,0.42,0.39
go.csv,0.79,0.69,0.99,0.62,0.68,0.82,0.25,0.5,0.73,0.73
kwave.csv,0.37,0.69,0.54,0.94,0.35,0.45,0.08,0.2,0.15,0.69
libarchive.csv,0.5,0.62,0.56,0.25,0.34,0.55,0.67,0.1,0.58,0.94
liferea.csv,0.4,1.0,0.39,0.12,0.26,0.45,0.0,0.15,0.38,0.35
linux-ntfs.csv,0.4,0.46,0.57,0.44,0.47,0.55,0.67,0.25,0.92,0.43
mpgravity.csv,0.4,0.38,0.46,0.38,0.32,0.64,1.0,0.45,0.46,0.45
