,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.4,0.57,0.41,0.38,0.31,0.21,0.48,0.58,0.53
clamav.csv,0.67,0.4,0.6,0.19,0.62,0.14,0.0,0.97,0.43,0.42
dvd-create.csv,0.75,0.43,0.79,0.4,0.99,0.32,0.39,0.59,0.61,0.65
gbif-indexingtoolkit.csv,0.24,0.0,0.34,0.0,0.22,1.0,0.22,0.34,0.54,0.45
go.csv,0.76,0.33,0.99,0.38,0.76,0.32,0.23,0.45,0.54,0.58
kwave.csv,0.52,0.37,0.61,0.97,0.51,0.29,0.11,0.25,0.25,0.65
libarchive.csv,0.63,0.42,0.67,0.22,0.48,0.27,0.5,0.15,0.57,0.97
liferea.csv,0.55,1.0,0.54,0.15,0.41,0.32,0.0,0.21,0.44,0.49
linux-ntfs.csv,0.55,0.44,0.63,0.33,0.61,0.37,0.28,0.33,0.94,0.49
mpgravity.csv,0.54,0.32,0.57,0.21,0.45,0.33,1.0,0.36,0.48,0.45
