,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.0,0.52,0.2,0.34,0.17,0.54,0.32,0.14,0.69,0.31
clamav.csv,0.27,0.34,0.18,0.21,0.06,0.32,0.0,0.0,0.48,0.16
dvd-create.csv,0.77,0.7,0.64,0.5,0.0,0.62,0.51,0.5,0.76,0.47
gbif-indexingtoolkit.csv,0.07,0.11,0.42,0.21,0.28,0.0,0.49,0.39,0.14,0.25
go.csv,0.77,0.73,0.0,0.48,0.39,0.74,0.27,0.39,0.9,0.59
kwave.csv,0.13,0.61,0.44,0.0,0.11,0.38,0.12,0.22,0.07,0.31
libarchive.csv,0.23,0.39,0.18,0.29,0.28,0.56,0.29,0.11,0.41,0.0
liferea.csv,0.13,0.0,0.09,0.14,0.0,0.3,0.0,0.17,0.31,0.06
linux-ntfs.csv,0.13,0.18,0.4,0.36,0.33,0.3,0.9,0.14,0.03,0.22
mpgravity.csv,0.17,0.3,0.24,0.64,0.5,0.5,0.0,0.58,0.41,0.38
