project,f1,precision,recall,g-score,d2h,pci_20,ifa
bzbyte.csv,0.71,0.71,0.71,0.63,0.69,93,1
freedom-erp.csv,0.65,0.66,0.65,0.67,0.54,96,10
twostep.csv,0.78,0.82,0.79,0.65,0.42,92,1
iaml.csv,0.53,0.58,0.53,0.51,0.66,97,1
etics.csv,0.66,0.62,0.7,0.35,0.87,90,1
neoengine.csv,0.7,0.7,0.71,0.54,0.53,98,14
nsis.csv,0.92,0.89,0.94,0,1,94,1
vdsf.csv,0.87,0.83,0.91,0,1,99,251
monetdb.csv,0.7,0.8,0.73,0.26,0.78,96,8
amygdala.csv,0.56,0.57,0.57,0.57,0.64,93,4
ikvm.csv,0.6,0.65,0.6,0.54,0.56,90,1
jicarilla.csv,0.67,0.75,0.69,0.7,0.57,92,8
metacosm.csv,0.61,0.61,0.62,0.58,0.58,90,3
mplayer-ce.csv,0.39,0.3,0.55,0,1,99,125
moviesandbox.csv,0.67,0.7,0.69,0.73,0.58,93,0
uwom.csv,0.69,0.61,0.78,0,1,99,164
geotools.csv,0.67,0.72,0.75,0.15,0.88,98,22
jrdf.csv,0.64,0.63,0.67,0,1,93,14
ng4j.csv,0.7,0.71,0.69,0.54,0.56,93,5
bloodycore.csv,0.78,0.72,0.85,0,1,98,91
jahshakafx.csv,0.65,0.72,0.66,0.72,0.53,98,6
jstock.csv,0.67,0.67,0.67,0.37,0.7,91,9
nassp.csv,0.69,0.65,0.73,0,1,90,10
soar.csv,0.49,0.53,0.55,0.51,0.82,90,0
xbplayer.csv,0.69,0.72,0.73,0.48,0.62,96,4
scite-ru.csv,0.68,0.68,0.71,0.29,0.76,92,12
mobicents.csv,0.56,0.56,0.56,0.55,0.63,99,0
jcache.csv,0.79,0.85,0.8,0.78,0.41,93,8
flylegacy.csv,0.72,0.83,0.78,0.56,0.8,94,0
mcmc-jags.csv,0.74,0.76,0.75,0.68,0.42,90,2
mcore3d.csv,0.59,0.58,0.63,0.48,0.83,97,3
gdis.csv,0.71,0.64,0.8,0,1,92,0
liferea.csv,0.64,0.72,0.75,0.52,0.62,91,6
nova.csv,0.75,0.78,0.75,0.47,0.67,91,9
fleet-simulator.csv,1,1,1,1,0,92,0
japano.csv,0.89,0.86,0.93,0,1,96,2
qmcpack.csv,0.63,0.71,0.62,0.55,0.51,92,0
gnukeda.csv,0.66,0.67,0.67,0.71,0.5,92,0
powerfolder-.csv,0.66,0.69,0.71,0.54,0.54,95,4
jparsec.csv,0.6,0.6,0.61,0.55,0.62,95,1
m-m-m.csv,0.85,0.92,0.83,0.83,0.5,91,0
adonthell.csv,0.57,0.58,0.57,0.54,0.61,95,0
k3d.csv,0.79,0.73,0.85,0,1,97,40
fmri-dmt.csv,0.85,0.85,0.87,0,1,92,12
amanda.csv,0.68,0.68,0.68,0.58,0.5,95,9
jaql.csv,0.67,0.67,0.68,0.5,0.58,97,13
vars-redux.csv,0.54,0.55,0.54,0.55,0.66,95,3
megameknet.csv,0.8,0.81,0.8,0.56,0.5,98,3
autoopencas.csv,0.62,0.54,0.73,0,1,97,33
arianne.csv,0.49,0.58,0.55,0.47,0.81,97,0
sumatrapdf.csv,0.75,0.78,0.76,0.56,0.5,94,11
powerfolder.csv,0.94,0.92,0.96,0,1,96,24
openxava.csv,0.85,0.81,0.9,0,1,96,28
somap.csv,0.9,0.87,0.93,0,1,93,0
elateportal.csv,0.92,0.94,0.91,0.91,0.11,90,0
lcfizvtop.csv,0.67,0.65,0.73,0,1.01,91,10
arm-webradio.csv,0.77,0.85,0.81,0.34,0.71,96,0
geogebra.csv,0.7,0.69,0.78,0.07,0.94,98,38
dvd-create.csv,0.72,0.71,0.74,0.58,0.76,94,0
xinity.csv,0.62,0.63,0.62,0.54,0.68,92,1
jython.csv,0.87,0.88,0.89,0.45,0.6,97,29
gnupdate.csv,0.78,0.78,0.81,0.52,0.61,95,3
gstreamer.csv,0.7,0.71,0.71,0.75,0.5,98,1
plearn.csv,0.63,0.63,0.68,0.2,0.84,97,4
gpac.csv,0.48,0.52,0.52,0.54,0.78,95,3
quark.csv,0.67,0.67,0.71,0,1,92,11
xemeiah.csv,0.65,0.65,0.66,0.66,0.5,96,14
unflobtactical.csv,0.65,0.7,0.67,0.61,0.66,91,1
web-cat.csv,0.56,0.57,0.6,0.35,0.77,90,4
biodwh.csv,0.75,0.75,0.75,0,1.01,93,15
crisscross.csv,0.75,0.69,0.75,0,1,95,23
ofbiz.csv,0.61,0.61,0.65,0.61,0.66,98,0
mptvseries.csv,0.69,0.7,0.7,0.54,0.53,90,7
freelords.csv,0.61,0.55,0.67,0.43,0.89,95,0
delphilhlplib.csv,0.65,0.85,0.67,0.56,0.6,93,1
wow-qrsk.csv,0.72,0.65,0.81,0,1,99,187
les-indemodables.csv,0.65,0.66,0.67,0.59,0.53,95,8
runuomondains.csv,0.79,0.73,0.86,0,1,92,13
ontomorphtab.csv,0.55,0.63,0.55,0.47,0.62,90,1
libarchive.csv,0.65,0.67,0.67,0.49,0.59,95,1
capcode.csv,0.72,0.74,0.71,0,1,93,15
openmeetings.csv,0.85,0.89,0.88,0.29,0.75,96,20
silvertree.csv,0.5,0.53,0.5,0.44,0.7,91,8
hibernate.csv,0.64,0.63,0.7,0.15,0.88,99,49
haggle.csv,0.6,0.6,0.59,0.6,0.71,95,2
opensim4opencog.csv,0.81,0.75,0.87,0,1,97,37
jasa.csv,0.46,0.52,0.5,0.35,0.87,93,9
jpaul.csv,0.76,0.76,0.77,0.55,0.52,90,2
openmsx.csv,0.46,0.45,0.5,0.18,0.89,96,6
toped.csv,0.83,0.83,0.83,0.78,0.51,91,0
simplewebservices.csv,0.59,0.62,0.59,0.49,0.59,97,3
mvnforum.csv,0.55,0.49,0.58,0,1,92,10
reaper3d.csv,0.87,0.83,0.86,0,1,95,21
growl-for-windows.csv,0.51,0.54,0.5,0.5,0.79,90,4
projectts.csv,0.33,0.33,0.33,0.35,0.98,91,6
mvdsv.csv,0.89,0.85,0.92,0,1,92,13
fritzing.csv,0.58,0.58,0.58,0.6,0.6,96,0
wsmt.csv,0.65,0.8,0.69,0.71,0.67,92,6
swtfox.csv,0.81,0.81,0.81,0.77,0.29,95,0
pcsx2.csv,0.7,0.7,0.71,0.72,0.55,98,0
octave.csv,0.72,0.67,0.81,0,1,96,24
mule.csv,0.58,0.58,0.6,0.61,0.65,97,1
lamp.csv,0.84,0.8,0.86,0,1,96,28
m-a-d-n-e-s-s.csv,0.7,0.69,0.71,0.6,0.58,94,1
google-gears.csv,0.71,0.71,0.75,0.5,0.75,96,0
encog-cs.csv,0.58,0.58,0.58,0.41,0.71,97,23
awemud.csv,0.71,0.71,0.71,0.51,0.83,95,1
tycho.csv,0.72,0.76,0.75,0.7,0.44,92,0
tmva.csv,0.73,0.73,0.76,0.67,0.67,97,5
gebr.csv,0.67,0.68,0.65,0.61,0.63,96,0
rocrail.csv,0.78,0.88,0.76,0.56,0.5,95,11
trackit.csv,0.49,0.5,0.5,0.46,0.84,92,0
ossbuild.csv,0.82,0.77,0.88,0,1,98,49
foursquared.csv,0.61,0.64,0.62,0.42,0.75,92,11
pentahoanalysistool.csv,0.55,0.49,0.56,0.37,0.9,94,2
extprosys.csv,0.61,0.63,0.67,0.44,0.66,97,1
utgb.csv,0.46,0.47,0.46,0.44,0.76,92,1
jmri.csv,0.52,0.52,0.53,0.41,0.71,98,0
virtuoso.csv,0.68,0.6,0.78,0,1,97,35
qmmp.csv,0.73,0.73,0.73,0.7,0.38,96,7
exordium.csv,0.73,0.73,0.73,0.54,0.64,93,9
bigdata.csv,0.83,0.78,0.88,0,1,98,7
k3b.csv,0.6,0.61,0.59,0.59,0.69,94,1
myfaces.csv,0.82,0.81,0.86,0.12,0.9,98,59
google-web-toolkit.csv,0.55,0.55,0.58,0.51,0.83,98,13
genecys.csv,0.8,0.75,0.85,0,1,92,0
taverna.csv,0.64,0.67,0.67,0.45,0.61,93,2
jsidplay2.csv,0.59,0.65,0.62,0.56,0.65,93,0
fltk.csv,0.57,0.6,0.6,0.59,0.72,97,0
tradelink.csv,0.61,0.68,0.63,0,1.01,94,17
irrlicht.csv,0.67,0.6,0.77,0,1,97,3
jguard.csv,0.63,0.65,0.65,0.53,0.66,94,13
jitterbit.csv,0.8,0.81,0.81,0.58,0.48,99,3
etherboot.csv,0.58,0.54,0.61,0,1.01,93,15
customwars.csv,0.75,0.73,0.73,0.29,0.78,95,21
webdriver.csv,0.64,0.7,0.68,0.48,0.62,95,5
mediate.csv,0.64,0.65,0.64,0.63,0.67,92,4
plee-the-bear.csv,0.91,0.88,0.94,0,1,99,110
levent.csv,0.52,0.54,0.54,0.47,0.82,93,0
mia.csv,0.88,0.85,0.92,0,1,97,37
unladen-swallow.csv,0.83,0.78,0.88,0,1,99,590
apertium.csv,0.69,0.77,0.71,0.6,0.58,94,0
vapor.csv,0.64,0.65,0.7,0.24,0.81,94,11
