,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.78,0.92,0.78,0.44,0.86,0.91,1.01,0.98,0.88,0.96
flylegacy.csv,0.69,0.66,0.4,0.66,0.73,0.74,0.9,0.55,0.79,0.66
jguard.csv,0.83,0.95,0.69,0.81,0.75,0.53,0.81,0.59,0.94,0.77
m-a-d-n-e-s-s.csv,0.81,1.0,0.73,0.76,0.98,1.0,1.0,0.9,0.39,0.89
mob-sen-plat.csv,0.76,0.37,0.83,0.72,0.58,0.77,0.62,0.58,0.47,0.62
raygina.csv,0.34,1.0,0.7,0.81,0.8,0.79,0.76,0.73,0.75,0.67
st-filteredstatistics.csv,0.88,0.7,0.91,0.78,0.61,0.61,0.9,0.29,0.72,0.69
upp-mirror.csv,0.77,0.94,0.71,0.54,0.45,0.64,0.84,0.76,0.59,0.72
wishmaster.csv,0.78,0.9,0.72,0.68,0.54,0.76,0.42,0.91,0.53,0.77
yarp.csv,0.81,1.0,0.71,0.84,0.99,0.87,0.6,0.9,0.72,0.46
