,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.47,0.91,0.37,0.66,0.67,1.0,1.0,1.0,0.2,0.83,0.05,1.0,0.8,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.92,0.83,0.53,0.5,0.44,0.7,0.4,0.12,0.36,0.54,0.19,0.92,1.0,0.18
ivef-sdk.csv,0.69,0.93,0.51,0.67,0.25,1.0,0.3,0.0,0.29,0.53,0.0,0.88,1.0,0.14
jmri.csv,0.62,0.9,0.99,0.46,0.38,0.32,0.36,0.2,0.23,0.59,0.19,0.94,0.65,0.15
jython.csv,0.64,0.82,0.5,0.65,0.36,0.98,0.42,1.0,0.25,0.53,0.13,0.88,0.59,0.06
kdenlive.csv,1.0,0.91,0.5,0.36,0.32,0.71,0.23,0.12,0.37,0.49,0.13,0.9,0.72,0.1
opentibia.csv,0.71,1.0,0.45,0.6,0.26,0.9,0.67,0.13,0.29,0.5,0.15,0.91,0.65,0.0
projectfactory.csv,0.62,0.9,0.5,0.67,0.28,0.36,0.32,0.43,0.34,0.98,0.08,0.85,0.9,0.0
runuomondains.csv,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.64,0.0,0.0,1.0,1.0,0.73,0.0
somap.csv,0.65,0.87,0.47,0.6,0.35,0.69,0.49,0.13,0.26,0.48,0.12,1.0,0.63,0.09
taverna.csv,0.68,0.97,0.51,0.71,1.0,0.97,0.3,0.02,0.31,0.61,0.12,1.0,0.71,0.17
unbvision.csv,0.74,0.9,0.43,0.61,0.39,0.21,0.29,0.31,1.0,0.53,0.15,1.0,0.72,0.09
x-ray-mule.csv,0.73,0.96,0.43,1.0,0.3,0.0,0.33,0.5,0.22,0.47,0.22,0.94,0.67,0.22
