,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.62,0.17,0.26,0.5,0.11,0.0,0.0,0.0,0.48,0.02,0.32,0.0,0.05,0.19
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.03,0.17,0.25,0.05,0.17,0.1,0.17,0.98,0.29,0.14,0.49,0.17,0.0,0.35
ivef-sdk.csv,0.74,0.33,0.3,0.75,0.51,0.0,0.6,0.0,0.75,0.53,0.05,0.67,0.0,0.46
jmri.csv,0.92,0.5,0.01,0.7,0.45,0.43,0.46,0.08,0.88,0.28,0.36,0.17,0.37,0.44
jython.csv,0.54,0.5,0.57,0.65,0.55,0.03,0.66,0.0,0.82,0.58,0.58,1.0,0.58,0.58
kdenlive.csv,0.0,0.42,0.54,0.8,0.4,0.57,0.29,0.99,0.46,0.67,0.56,0.83,0.53,0.87
opentibia.csv,0.72,0.0,0.35,1.0,0.55,0.23,0.2,0.98,0.76,0.33,0.47,0.67,0.58,0.48
projectfactory.csv,0.38,0.25,0.34,0.2,0.43,0.23,0.43,0.09,0.39,0.02,0.39,0.83,0.11,0.23
runuomondains.csv,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.16,0.06
somap.csv,1.0,1.0,0.99,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.98
taverna.csv,0.41,0.08,0.1,0.5,0.0,0.03,0.2,0.83,0.34,0.21,0.24,0.0,0.11,0.19
unbvision.csv,0.36,0.5,0.65,0.45,0.64,0.37,0.49,0.25,0.0,0.51,0.47,0.0,0.42,0.77
x-ray-mule.csv,0.33,0.08,0.2,0.0,0.26,0.0,0.29,0.01,0.69,0.47,0.12,0.17,0.11,0.13
