,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.82,0.95,0.99,0.52,0.89,0.94,0.7,0.75,0.55,0.83,0.85,0.86,0.8,0.9
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
hydrate.csv,0.92,0.92,0.63,0.5,0.69,0.9,0.9,0.25,0.67,0.77,0.47,0.92,0.39,0.36
ivef-sdk.csv,0.41,0.47,0.86,0.47,0.72,0.61,0.73,0.0,0.47,0.59,0.67,0.74,0.0,0.57
jmri.csv,0.45,0.5,0.58,0.35,0.56,0.68,0.6,0.93,0.52,0.62,0.54,0.72,0.65,0.48
jython.csv,0.55,0.85,0.6,0.57,0.6,0.65,0.55,0.95,0.56,0.51,0.59,0.5,0.59,0.56
kdenlive.csv,0.43,0.42,0.38,0.4,0.52,0.52,0.62,0.26,0.4,0.44,0.39,0.35,0.33,0.38
opentibia.csv,0.39,0.43,0.62,0.46,0.59,0.59,0.71,0.26,0.45,0.54,0.48,0.36,0.52,0.56
projectfactory.csv,0.64,0.74,0.64,0.92,0.62,0.91,0.59,0.96,0.6,0.57,0.64,0.59,0.52,0.92
runuomondains.csv,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.88,0.5,0.73,0.67
somap.csv,0.42,0.44,0.39,0.46,0.38,0.43,0.41,0.26,0.49,0.38,0.43,0.35,0.37,0.38
taverna.csv,0.52,0.57,0.98,0.54,0.73,0.88,0.8,0.25,0.52,0.65,0.75,0.9,0.86,0.92
unbvision.csv,0.53,0.51,0.53,0.61,0.5,0.71,0.62,0.8,0.72,0.51,0.52,0.66,0.45,0.36
x-ray-mule.csv,0.45,0.57,0.99,0.67,0.95,0.0,0.73,0.75,0.64,0.55,0.89,0.83,0.83,0.89
