,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.08,0.4,0.49,0.07,0.42,0.36,0.29,0.17,0.72,0.5,0.19
google-gears.csv,0.52,0.65,0.97,0.87,0.79,0.9,0.83,0.71,0.93,0.7,0.77
grafx2.csv,0.4,0.7,0.34,0.33,0.61,0.59,0.58,0.44,0.52,0.56,0.62
kmess.csv,0.2,0.05,0.3,0.07,0.55,0.12,0.71,0.06,0.54,0.35,0.15
megameknet.csv,0.59,1.0,0.97,0.52,0.82,0.65,0.72,0.8,0.61,0.79,0.81
minig.csv,0.81,0.91,0.45,0.72,0.67,0.7,0.72,0.78,0.1,0.84,0.49
ns-3.csv,0.68,0.98,0.76,0.33,0.39,0.57,0.85,0.5,0.1,0.36,0.74
omseek.csv,0.18,0.0,0.13,0.35,0.64,0.19,0.23,0.14,0.43,0.47,0.09
quickfast.csv,0.89,0.93,0.78,0.78,0.94,0.83,0.92,0.77,0.16,0.65,0.79
sylpheed-claws.csv,1.0,1.0,0.69,0.83,1.0,0.88,0.98,0.99,1.0,0.81,1.0
xamj.csv,0.74,0.67,0.74,0.41,0.88,0.99,0.69,0.74,0.54,0.65,0.7
