,d2h
bl-toolkit.csv,0.94
opengs.csv,0.94
patterntesting.csv,0.47
log4net.csv,0.73
gzigzag.csv,0.59
fw4spl.csv,0.73
phet.csv,0.92
gnukeda.csv,0.61
jaxen.csv,0.2
unimrcp.csv,0.64
enlightenment.csv,0.56
tokratan.csv,0.62
opensim4opencog.csv,0.56
rsyslog.csv,0.45
qlc.csv,0.7
lockss.csv,0.72
nicepress.csv,0.73
scenemonitor.csv,0.95
wxlua.csv,0.88
blue-c.csv,0.47
tcl.csv,0.62
etherboot.csv,0.72
pustefix.csv,0.7
haggle.csv,0.72
jmonkeyengine.csv,0.6
officefloor.csv,0.44
fluidium.csv,0.73
aufs.csv,0.56
cuberok.csv,0.56
vienna-add-in.csv,0.75
ivataopenportal.csv,0.69
decidr.csv,0.68
mptvseries.csv,0.5
planeshift.csv,0.61
phonon-vlc-mplayer.csv,0.61
jgnash.csv,0.53
nassp.csv,0.54
toped.csv,0.51
mediate.csv,0.7
arcallians.csv,0.39
emulemorph.csv,0.64
webdriver.csv,0.63
jsr308-langtools.csv,0.43
boost-sandbox.csv,0.8
mvnforum.csv,0.66
plato.csv,0.87
tolven.csv,0.49
grafx2.csv,0.4
voms.csv,0.89
onotoa.csv,0.78
jguard.csv,0.8
yale.csv,0.65
jmol.csv,0.63
mscore.csv,0.66
hydrogen.csv,0.4
qtwin.csv,0.32
sbml.csv,0.51
thrust.csv,0.79
yaprm.csv,0.7
continuum-ide.csv,0.71
gpac.csv,0.63
e-bio-flow.csv,0.68
jbasic.csv,0.74
aztec.csv,0.74
sylpheed-claws.csv,0.55
stuproa-cims.csv,0.71
apertium.csv,0.59
fm-classic.csv,0.26
smarttag.csv,0.86
pamguard.csv,0.8
