,pf
bl-toolkit.csv,0.05
opengs.csv,0.0
patterntesting.csv,0.09
log4net.csv,0.31
gzigzag.csv,0.33
fw4spl.csv,0.17
phet.csv,0.24
gnukeda.csv,0.16
jaxen.csv,0.2
unimrcp.csv,0.24
enlightenment.csv,0.22
tokratan.csv,0.15
opensim4opencog.csv,0.28
rsyslog.csv,0.33
qlc.csv,0.58
lockss.csv,0.23
nicepress.csv,0.13
scenemonitor.csv,0.03
wxlua.csv,0.0
blue-c.csv,0.08
tcl.csv,0.25
etherboot.csv,0.33
pustefix.csv,0.11
haggle.csv,0.32
jmonkeyengine.csv,0.5
officefloor.csv,0.27
fluidium.csv,0.14
aufs.csv,0.54
cuberok.csv,0.26
vienna-add-in.csv,0.17
ivataopenportal.csv,0.34
decidr.csv,0.5
mptvseries.csv,0.16
planeshift.csv,0.22
phonon-vlc-mplayer.csv,0.05
jgnash.csv,0.23
nassp.csv,0.48
toped.csv,0.44
mediate.csv,0.2
arcallians.csv,0.25
emulemorph.csv,0.4
webdriver.csv,0.09
jsr308-langtools.csv,0.15
boost-sandbox.csv,0.59
mvnforum.csv,0.25
plato.csv,0.38
tolven.csv,0.23
grafx2.csv,0.16
voms.csv,0.08
onotoa.csv,0.19
jguard.csv,0.05
yale.csv,0.15
jmol.csv,0.17
mscore.csv,0.08
hydrogen.csv,0.15
qtwin.csv,0.32
sbml.csv,0.31
thrust.csv,0.21
yaprm.csv,0.32
continuum-ide.csv,0.28
gpac.csv,0.36
e-bio-flow.csv,0.15
jbasic.csv,0.12
aztec.csv,0.23
sylpheed-claws.csv,0.26
stuproa-cims.csv,0.27
apertium.csv,0.53
fm-classic.csv,0.26
smarttag.csv,0.05
pamguard.csv,0.67
