,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.4,0.63,0.52,0.21,0.54,0.36,0.0,0.0,0.36,0.1,0.55,0.0,0.26
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gisgraphy.csv,0.0,0.29,0.35,0.65,0.5,0.02,0.66,0.45,0.2,0.1,0.5,0.0,0.76
jaxen.csv,0.53,0.36,0.29,0.0,0.56,0.21,0.0,0.0,0.44,0.53,0.27,0.0,0.39
jvcl.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-m-m.csv,0.51,0.68,0.21,0.3,0.05,0.88,0.0,0.05,0.57,0.09,0.32,0.8,0.0
motu.csv,0.1,0.55,0.58,0.3,0.23,0.34,0.0,0.53,0.37,0.36,0.51,0.0,0.39
nh3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wgs-assembler.csv,0.27,0.29,0.34,0.49,0.14,0.05,0.0,0.0,0.37,0.76,0.02,0.0,0.0
zabbix.csv,0.56,0.0,0.63,0.39,0.28,0.31,0.0,0.23,0.37,0.56,0.4,0.0,0.5
