,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.7,0.67,0.63,0.86,0.53,0.78,1.02,1.0,0.82,0.94,0.52,1.04,0.85
emulemorph.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gisgraphy.csv,1.0,0.76,0.73,0.48,0.6,0.99,0.72,0.6,0.85,0.97,0.77,1.02,0.28
jaxen.csv,0.75,0.97,0.76,1.01,0.66,0.83,1.12,1.0,0.86,0.68,0.77,1.07,0.77
jvcl.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
m-m-m.csv,0.79,0.57,0.95,0.92,0.99,0.4,1.0,0.99,0.77,0.98,0.91,0.55,1.0
motu.csv,0.92,0.5,0.71,0.83,0.97,0.71,1.0,0.79,0.74,0.7,0.55,1.06,0.89
nh3d.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wgs-assembler.csv,0.78,0.78,0.79,0.58,0.93,0.96,1.0,1.0,0.7,0.36,0.98,1.0,1.01
zabbix.csv,0.74,1.01,0.72,0.75,0.84,0.73,1.0,0.85,0.74,0.59,0.65,1.08,0.56
