,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.62,0.28,0.35,0.46,0.58,0.24,0.17,0.55,0.61,0.53,0.41,0.1,0.57,0.38,0.38
e-bio-flow.csv,0.35,0.44,0.68,0.62,0.63,0.26,0.49,0.68,0.24,0.41,0.55,0.29,0.29,0.09,0.29
emono.csv,0.34,0.44,0.42,0.34,0.72,0.44,0.42,0.53,0.35,0.19,0.51,0.55,0.35,0.65,0.65
jas.csv,0.5,0.71,0.1,0.69,0.34,0.67,0.59,0.57,0.75,0.22,0.53,0.67,0.76,0.43,0.0
jbpm.csv,0.14,0.06,0.0,0.77,0.0,0.11,0.13,0.2,0.0,0.11,0.0,0.01,0.0,0.0,0.0
jgossipforum.csv,0.47,0.61,0.18,0.2,0.37,0.65,0.26,0.43,0.98,0.41,0.69,0.59,0.0,0.4,0.55
jmonkeyengine.csv,0.37,0.75,0.0,0.68,0.34,0.74,0.76,0.45,0.41,0.31,0.57,0.64,0.44,0.2,0.28
joustsim.csv,0.39,0.48,0.35,0.62,0.36,0.62,0.65,0.4,0.93,0.89,0.51,0.69,0.74,0.54,0.93
log4net.csv,0.56,0.27,0.64,0.29,0.97,0.16,0.0,0.51,0.0,0.73,0.43,0.23,0.0,0.39,0.28
ngl.csv,0.58,0.74,0.54,0.6,0.48,0.35,0.58,0.68,0.68,0.7,0.32,0.7,0.72,0.53,0.21
piccolo2d.csv,0.48,0.54,0.87,0.56,0.7,0.11,0.37,0.55,0.0,0.58,0.15,0.43,0.0,0.24,0.29
pustefix.csv,0.22,0.51,0.62,0.59,0.61,0.6,0.59,0.49,0.23,0.31,0.28,0.53,0.13,0.59,0.51
reaper3d.csv,0.33,0.75,0.1,0.29,0.36,0.31,0.2,0.51,0.66,0.21,0.72,0.35,0.54,0.36,0.29
sblim.csv,0.56,0.95,0.67,0.67,0.69,0.53,0.42,0.45,0.64,0.66,0.41,0.58,0.7,0.0,0.66
thedata.csv,0.5,0.58,0.45,0.38,0.35,0.53,0.42,0.45,0.6,0.58,0.57,0.62,0.57,0.57,0.98
